,text,tokens,stopWordsRemovedTokens,rawFeatures,features,topicDistribution
385,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(2000,[9,468,716,1096,1195,1488],[1.0,1.0,2.0,1.0,1.0,1.0])","(2000,[9,468,716,1096,1195,1488],[3.62063035358,2.99945667264,6.88589835268,2.47676147332,3.59323137939,1.22779838274])","[0.591792702914,0.408207297086]"
386,The power structure canada immigration consultants harmony delhi: KfqVfEb ,"['the', 'power', 'structure', 'canada', 'immigration', 'consultants', 'harmony', 'delhi:', 'kfqvfeb']","['power', 'structure', 'canada', 'immigration', 'consultants', 'harmony', 'delhi:', 'kfqvfeb']","(2000,[173,679,1166,1448,1488,1605,1825,1952],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[173,679,1166,1448,1488,1605,1825,1952],[5.25823914298,0.0,5.0069247147,1.19043413599,1.22779838274,4.37093594798,0.0,5.12470775036])","[0.6040332112,0.3959667888]"
387,The latest Nexus Canada! ,"['the', 'latest', 'nexus', 'canada!']","['latest', 'nexus', 'canada!']","(2000,[194,938,1498],[1.0,1.0,1.0])","(2000,[194,938,1498],[4.71924264225,4.63919993457,4.80625401924])","[0.566719413433,0.433280586567]"
388,"$500 fee hike for immigrants called cash grab, head tax: A new fee, and the tone of the government concerning??_ ","['$500', 'fee', 'hike', 'for', 'immigrants', 'called', 'cash', 'grab,', 'head', 'tax:', 'a', 'new', 'fee,', 'and', 'the', 'tone', 'of', 'the', 'government', 'concerning??_']","['$500', 'fee', 'hike', 'immigrants', 'called', 'cash', 'grab,', 'head', 'tax:', 'new', 'fee,', 'tone', 'government', 'concerning??_']","(2000,[16,25,233,378,400,468,473,863,970,1064,1156,1258,1389,1398],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[16,25,233,378,400,468,473,863,970,1064,1156,1258,1389,1398],[5.41238982281,3.27232365931,4.56509196242,0.0,0.0,2.99945667264,5.25823914298,4.31377753414,4.4315605698,5.0069247147,4.90156419904,4.31377753414,0.0,0.0])","[0.434697202637,0.565302797363]"
389,""".@FlorMarcelino said """"arrivals under the nominee program almost always have work shortly after they get to Manitoba"""" ","['"".@flormarcelino', 'said', '""""arrivals', 'under', 'the', 'nominee', 'program', 'almost', 'always', 'have', 'work', 'shortly', 'after', 'they', 'get', 'to', 'manitoba""""']","['"".@flormarcelino', 'said', '""""arrivals', 'nominee', 'program', 'almost', 'always', 'work', 'shortly', 'get', 'manitoba""""']","(2000,[320,515,644,649,1013,1197,1527,1619,1720,1754,1959],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[320,515,644,649,1013,1197,1527,1619,1720,1754,1959],[4.63919993457,0.0,4.63919993457,0.0,5.25823914298,0.0,4.71924264225,5.41238982281,0.0,0.0,4.02609546169])","[0.498083847098,0.501916152902]"
390,"@davidakin this #Fraudster should be deported 4 illegal immigration, instead @JustinTrudeau puts her in charge of??_ ","['@davidakin', 'this', '#fraudster', 'should', 'be', 'deported', '4', 'illegal', 'immigration,', 'instead', '@justintrudeau', 'puts', 'her', 'in', 'charge', 'of??_']","['@davidakin', '#fraudster', 'deported', '4', 'illegal', 'immigration,', 'instead', '@justintrudeau', 'puts', 'charge', 'of??_']","(2000,[116,297,701,863,899,945,966,974,1285,1508,1633],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[116,297,701,863,899,945,966,974,1285,1508,1633],[5.25823914298,0.0,0.0,4.31377753414,4.4315605698,5.0069247147,4.80625401924,0.0,4.71924264225,5.41238982281,4.37093594798])","[0.350012812501,0.649987187499]"
391,"""@CTVVancouver The guy behind that is """"Dan Murray"""". Dox here - ","['""@ctvvancouver', 'the', 'guy', 'behind', 'that', 'is', '""""dan', 'murray"""".', 'dox', 'here', '-']","['""@ctvvancouver', 'guy', 'behind', '""""dan', 'murray"""".', 'dox', '-']","(2000,[358,390,729,1343,1499,1540,1939],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[358,390,729,1343,1499,1540,1939],[5.41238982281,5.12470775036,0.0,0.0,2.40835874644,5.25823914298,3.07701490699])","[0.488905642648,0.511094357352]"
392,"""@VancouverSun """"Immigration Watch Canada"""" is likely this guy - ","['""@vancouversun', '""""immigration', 'watch', 'canada""""', 'is', 'likely', 'this', 'guy', '-']","['""@vancouversun', '""""immigration', 'watch', 'canada""""', 'likely', 'guy', '-']","(2000,[341,621,943,997,1202,1499,1939],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[341,621,943,997,1202,1499,1939],[5.25823914298,5.41238982281,0.0,0.0,5.0069247147,2.40835874644,3.07701490699])","[0.496351206176,0.503648793824]"
393,"@BC411_ FYI, Immigration Watch Canada is this guy - ","['@bc411_', 'fyi,', 'immigration', 'watch', 'canada', 'is', 'this', 'guy', '-']","['@bc411_', 'fyi,', 'immigration', 'watch', 'canada', 'guy', '-']","(2000,[518,1165,1202,1448,1488,1499,1939],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[518,1165,1202,1448,1488,1499,1939],[4.63919993457,0.0,5.0069247147,1.19043413599,1.22779838274,2.40835874644,3.07701490699])","[0.541946668923,0.458053331077]"
394,@rightsiderebel @MousseauJim Monsef should be outside of Canada looking online how not to have lied to Immigration! ,"['@rightsiderebel', '@mousseaujim', 'monsef', 'should', 'be', 'outside', 'of', 'canada', 'looking', 'online', 'how', 'not', 'to', 'have', 'lied', 'to', 'immigration!']","['@rightsiderebel', '@mousseaujim', 'monsef', 'outside', 'canada', 'looking', 'online', 'lied', 'immigration!']","(2000,[0,163,315,368,850,967,1488,1718,1827],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[0,163,315,368,850,967,1488,1718,1827],[4.31377753414,5.12470775036,4.63919993457,0.0,4.63919993457,4.71924264225,1.22779838274,3.41995965812,5.12470775036])","[0.55162072598,0.44837927402]"
395,MaRSDD: ICYMI: TheEconomist profiles Canada's open immigration policies &amp; how they contribute to our economic succ??_ ,"['marsdd:', 'icymi:', 'theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'how', 'they', 'contribute', 'to', 'our', 'economic', 'succ??_']","['marsdd:', 'icymi:', 'theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'contribute', 'economic', 'succ??_']","(2000,[72,159,558,754,942,1036,1144,1263,1448,1536,1746,1783],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[72,159,558,754,942,1036,1144,1263,1448,1536,1746,1783],[5.0069247147,4.80625401924,3.25290557345,3.44294917634,4.90156419904,5.25823914298,3.90831242603,4.25971031287,1.19043413599,5.12470775036,5.41238982281,4.20841701848])","[0.687901507213,0.312098492787]"
396,"""@BeatlesGreenDay move to Canada with """"the stars""""....oh wait.....they have strict immigration  policys.""","['""@beatlesgreenday', 'move', 'to', 'canada', 'with', '""""the', 'stars""""....oh', 'wait.....they', 'have', 'strict', 'immigration', '', 'policys.""']","['""@beatlesgreenday', 'move', 'canada', '""""the', 'stars""""....oh', 'wait.....they', 'strict', 'immigration', '', 'policys.""']","(2000,[282,609,726,1372,1448,1488,1590,1669,1840,1886],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[282,609,726,1372,1448,1488,1590,1669,1840,1886],[4.37093594798,5.0069247147,5.41238982281,2.79743004477,1.19043413599,1.22779838274,3.33294828113,0.0,4.63919993457,5.25823914298])","[0.416035158903,0.583964841097]"
397,ICYMI: @TheEconomist profiles Canada's open immigration policies &amp; how they contribute to our economic success:??_ ,"['icymi:', '@theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'how', 'they', 'contribute', 'to', 'our', 'economic', 'success:??_']","['icymi:', '@theeconomist', 'profiles', ""canada's"", 'open', 'immigration', 'policies', '&amp;', 'contribute', 'economic', 'success:??_']","(2000,[171,558,754,940,942,1036,1144,1263,1448,1746,1783],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[171,558,754,940,942,1036,1144,1263,1448,1746,1783],[0.0,3.25290557345,3.44294917634,0.0,4.90156419904,5.25823914298,3.90831242603,4.25971031287,1.19043413599,5.41238982281,4.20841701848])","[0.652566990103,0.347433009897]"
398,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[2.90008419883,3.14370628149,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,2.57917647875,1.22779838274,2.97004278744])","[0.649508117292,0.350491882708]"
399,Mexican visa lift expected to cost Canada $262M over a decade - Politics - CBC News ,"['mexican', 'visa', 'lift', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade', '-', 'politics', '-', 'cbc', 'news']","['mexican', 'visa', 'lift', 'expected', 'cost', 'canada', '$262m', 'decade', '-', 'politics', '-', 'cbc', 'news']","(2000,[148,433,476,490,778,792,1096,1488,1499,1866,1881,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(2000,[148,433,476,490,778,792,1096,1488,1499,1866,1881,1887],[2.90008419883,3.56656313231,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,1.22779838274,4.81671749288,4.11310683868,2.97004278744,3.64880123055])","[0.624395226365,0.375604773635]"
400,Wow!! This is not good at all! Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['wow!!', 'this', 'is', 'not', 'good', 'at', 'all!', 'mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['wow!!', 'good', 'all!', 'mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(2000,[148,168,222,476,490,551,778,792,1096,1462,1488,1781,1881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[148,168,222,476,490,551,778,792,1096,1462,1488,1781,1881],[2.90008419883,4.31377753414,3.14370628149,2.99945667264,2.87341595175,0.0,2.76149803555,2.83470143957,2.47676147332,2.57917647875,1.22779838274,5.41238982281,2.97004278744])","[0.618352315618,0.381647684382]"
401,Mexican visa lift expected to cost Canada $262M over a decade - Politics - CBC News ,"['mexican', 'visa', 'lift', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade', '-', 'politics', '-', 'cbc', 'news']","['mexican', 'visa', 'lift', 'expected', 'cost', 'canada', '$262m', 'decade', '-', 'politics', '-', 'cbc', 'news']","(2000,[148,433,476,490,778,792,1096,1488,1499,1866,1881,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(2000,[148,433,476,490,778,792,1096,1488,1499,1866,1881,1887],[2.90008419883,3.56656313231,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,1.22779838274,4.81671749288,4.11310683868,2.97004278744,3.64880123055])","[0.62439623572,0.37560376428]"
402,#Canada:  Muslim Imam admits refugee resettlement is caliphate-building! ,"['#canada:', '', 'muslim', 'imam', 'admits', 'refugee', 'resettlement', 'is', 'caliphate-building!']","['#canada:', '', 'muslim', 'imam', 'admits', 'refugee', 'resettlement', 'caliphate-building!']","(2000,[518,880,1078,1372,1454,1556,1645,1963],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[518,880,1078,1372,1454,1556,1645,1963],[4.63919993457,4.25971031287,5.12470775036,2.79743004477,5.25823914298,5.0069247147,5.0069247147,4.80625401924])","[0.487591668837,0.512408331163]"
403,Trump saves 1100 jobs...at Canada Office of Customs and Immigration,"['trump', 'saves', '1100', 'jobs...at', 'canada', 'office', 'of', 'customs', 'and', 'immigration']","['trump', 'saves', '1100', 'jobs...at', 'canada', 'office', 'customs', 'immigration']","(2000,[415,419,828,1414,1448,1488,1517,1771],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[415,419,828,1414,1448,1488,1517,1771],[0.0,4.80625401924,4.31377753414,5.0069247147,1.19043413599,1.22779838274,0.0,0.0])","[0.430714832325,0.569285167675]"
404,"Canada Immigration Website Traffic Surges And Crashes In Wake Of Trump #fasttraffic,#sitetraffic,#website,#traffic ","['canada', 'immigration', 'website', 'traffic', 'surges', 'and', 'crashes', 'in', 'wake', 'of', 'trump', '#fasttraffic,#sitetraffic,#website,#traffic']","['canada', 'immigration', 'website', 'traffic', 'surges', 'crashes', 'wake', 'trump', '#fasttraffic,#sitetraffic,#website,#traffic']","(2000,[104,604,828,937,1367,1448,1488,1697,1949],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[104,604,828,937,1367,1448,1488,1697,1949],[5.41238982281,4.90156419904,4.31377753414,4.49609909093,3.51526983792,1.19043413599,1.22779838274,5.12470775036,4.56509196242])","[0.418928071965,0.581071928035]"
405,Mexican visa lift expected to cost Canada $262M over a decade - Politics - CBC News ,"['mexican', 'visa', 'lift', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade', '-', 'politics', '-', 'cbc', 'news']","['mexican', 'visa', 'lift', 'expected', 'cost', 'canada', '$262m', 'decade', '-', 'politics', '-', 'cbc', 'news']","(2000,[148,433,476,490,778,792,1096,1488,1499,1866,1881,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(2000,[148,433,476,490,778,792,1096,1488,1499,1866,1881,1887],[2.90008419883,3.56656313231,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,1.22779838274,4.81671749288,4.11310683868,2.97004278744,3.64880123055])","[0.624394696348,0.375605303652]"
406,Labour crisis looms in Canada's agricultural sector - ,"['labour', 'crisis', 'looms', 'in', ""canada's"", 'agricultural', 'sector', '-']","['labour', 'crisis', 'looms', ""canada's"", 'agricultural', 'sector', '-']","(2000,[754,878,1115,1317,1499,1528,1778],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[754,878,1115,1317,1499,1528,1778],[3.44294917634,3.49057722533,3.54058764591,3.46647967375,2.40835874644,3.56656313231,3.51526983792])","[0.383778871184,0.616221128816]"
407,"Great article by my colleagues on tax, immigration, the election, and moving to Canada  ","['great', 'article', 'by', 'my', 'colleagues', 'on', 'tax,', 'immigration,', 'the', 'election,', 'and', 'moving', 'to', 'canada']","['great', 'article', 'colleagues', 'tax,', 'immigration,', 'election,', 'moving', 'canada']","(2000,[40,58,260,470,513,899,1414,1488],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[40,58,260,470,513,899,1414,1488],[0.0,0.0,4.49609909093,5.0069247147,5.25823914298,4.4315605698,5.0069247147,1.22779838274])","[0.436738499881,0.563261500119]"
408,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[2.90008419883,3.14370628149,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,2.57917647875,1.22779838274,2.97004278744])","[0.649508430809,0.350491569191]"
409,American Private Immigration Detention Centers Aren't Going Anywhere | VICE | Canada ,"['american', 'private', 'immigration', 'detention', 'centers', ""aren't"", 'going', 'anywhere', '|', 'vice', '|', 'canada']","['american', 'private', 'immigration', 'detention', 'centers', 'going', 'anywhere', '|', 'vice', '|', 'canada']","(2000,[493,511,694,704,1448,1488,1652,1721,1812,1938],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[493,511,694,704,1448,1488,1652,1721,1812,1938],[4.63919993457,5.41238982281,8.41683403696,5.25823914298,1.19043413599,1.22779838274,5.12470775036,3.56656313231,0.0,0.0])","[0.444606058862,0.555393941138]"
410,Labour crisis looms in Canada??s agricultural sector ,"['labour', 'crisis', 'looms', 'in', 'canada??s', 'agricultural', 'sector']","['labour', 'crisis', 'looms', 'canada??s', 'agricultural', 'sector']","(2000,[121,878,1115,1317,1528,1778],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[121,878,1115,1317,1528,1778],[3.54058764591,3.49057722533,3.54058764591,3.46647967375,3.56656313231,3.51526983792])","[0.364663987453,0.635336012547]"
411,Labour crisis looms in Canada??s agricultural sector ,"['labour', 'crisis', 'looms', 'in', 'canada??s', 'agricultural', 'sector']","['labour', 'crisis', 'looms', 'canada??s', 'agricultural', 'sector']","(2000,[121,878,1115,1317,1528,1778],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[121,878,1115,1317,1528,1778],[3.54058764591,3.49057722533,3.54058764591,3.46647967375,3.56656313231,3.51526983792])","[0.364663978958,0.635336021042]"
412,"@MaryamMonsef you are an illegal immigrant who lied on her immigration papers, your opinion &amp; thoughts mean nothing in #Canada leave now","['@maryammonsef', 'you', 'are', 'an', 'illegal', 'immigrant', 'who', 'lied', 'on', 'her', 'immigration', 'papers,', 'your', 'opinion', '&amp;', 'thoughts', 'mean', 'nothing', 'in', '#canada', 'leave', 'now']","['@maryammonsef', 'illegal', 'immigrant', 'lied', 'immigration', 'papers,', 'opinion', '&amp;', 'thoughts', 'mean', 'nothing', '#canada', 'leave']","(2000,[46,364,558,642,817,909,1004,1084,1285,1448,1798,1827,1866],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[46,364,558,642,817,909,1004,1084,1285,1448,1798,1827,1866],[5.41238982281,0.0,3.25290557345,2.99945667264,4.71924264225,5.12470775036,5.12470775036,0.0,4.71924264225,1.19043413599,0.0,5.12470775036,4.11310683868])","[0.513007887661,0.486992112339]"
413,Re: Immigration Into Canada: Not good enough. ,"['re:', 'immigration', 'into', 'canada:', 'not', 'good', 'enough.']","['re:', 'immigration', 'canada:', 'good', 'enough.']","(2000,[168,1448,1628,1734,1808],[1.0,1.0,1.0,1.0,1.0])","(2000,[168,1448,1628,1734,1808],[4.31377753414,1.19043413599,4.56509196242,5.12470775036,0.0])","[0.415546681053,0.584453318947]"
414,"Immigration, Refugees and Citizenship Canada press release: ","['immigration,', 'refugees', 'and', 'citizenship', 'canada', 'press', 'release:']","['immigration,', 'refugees', 'citizenship', 'canada', 'press', 'release:']","(2000,[830,899,1488,1642,1842,1973],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[830,899,1488,1642,1842,1973],[4.56509196242,4.4315605698,1.22779838274,4.71924264225,5.0069247147,4.31377753414])","[0.37239763567,0.62760236433]"
415,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[2.90008419883,3.14370628149,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,2.57917647875,1.22779838274,2.97004278744])","[0.649508694407,0.350491305593]"
416,Labour crisis looms in Canada??s agricultural sector ,"['labour', 'crisis', 'looms', 'in', 'canada??s', 'agricultural', 'sector']","['labour', 'crisis', 'looms', 'canada??s', 'agricultural', 'sector']","(2000,[121,878,1115,1317,1528,1778],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[121,878,1115,1317,1528,1778],[3.54058764591,3.49057722533,3.54058764591,3.46647967375,3.56656313231,3.51526983792])","[0.364664064365,0.635335935635]"
417,Suppose a refugee who lied on her immigration paperwork says Canada is an illegal settlement on stolen land.  What's the ethical response?,"['suppose', 'a', 'refugee', 'who', 'lied', 'on', 'her', 'immigration', 'paperwork', 'says', 'canada', 'is', 'an', 'illegal', 'settlement', 'on', 'stolen', 'land.', '', ""what's"", 'the', 'ethical', 'response?']","['suppose', 'refugee', 'lied', 'immigration', 'paperwork', 'says', 'canada', 'illegal', 'settlement', 'stolen', 'land.', '', 'ethical', 'response?']","(2000,[290,312,376,518,519,1173,1271,1285,1372,1378,1448,1488,1603,1827],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[290,312,376,518,519,1173,1271,1285,1372,1378,1448,1488,1603,1827],[5.41238982281,4.71924264225,0.0,4.63919993457,0.0,5.41238982281,0.0,4.71924264225,2.79743004477,3.87194478186,1.19043413599,1.22779838274,5.25823914298,5.12470775036])","[0.587815126724,0.412184873276]"
418,"Global Affairs Canada,Immigration, Refugees and Citizenship Canada press release: ","['global', 'affairs', 'canada,immigration,', 'refugees', 'and', 'citizenship', 'canada', 'press', 'release:']","['global', 'affairs', 'canada,immigration,', 'refugees', 'citizenship', 'canada', 'press', 'release:']","(2000,[82,830,1470,1488,1642,1766,1842,1973],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[82,830,1470,1488,1642,1766,1842,1973],[0.0,4.56509196242,0.0,1.22779838274,4.71924264225,0.0,5.0069247147,4.31377753414])","[0.39649032382,0.60350967618]"
419,"""@tarajcarman @nkeung @nickeagland since when is it """"racist"""" to criticize Canada's mass immigration policy which is leading to white genocide""","['""@tarajcarman', '@nkeung', '@nickeagland', 'since', 'when', 'is', 'it', '""""racist""""', 'to', 'criticize', ""canada's"", 'mass', 'immigration', 'policy', 'which', 'is', 'leading', 'to', 'white', 'genocide""']","['""@tarajcarman', '@nkeung', '@nickeagland', 'since', '""""racist""""', 'criticize', ""canada's"", 'mass', 'immigration', 'policy', 'leading', 'white', 'genocide""']","(2000,[77,423,585,754,998,1225,1358,1395,1448,1615,1690],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])","(2000,[77,423,585,754,998,1225,1358,1395,1448,1615,1690],[8.05219092338,5.41238982281,4.71924264225,3.44294917634,4.71924264225,5.12470775036,5.12470775036,0.0,2.38086827199,0.0,5.0069247147])","[0.416871091935,0.583128908065]"
420,Bad decision by our PM! Lifting the Mexican Visa Requirement will cost CDN taxpayers 262 million(net) over 10 yrs.  ,"['bad', 'decision', 'by', 'our', 'pm!', 'lifting', 'the', 'mexican', 'visa', 'requirement', 'will', 'cost', 'cdn', 'taxpayers', '262', 'million(net)', 'over', '10', 'yrs.']","['bad', 'decision', 'pm!', 'lifting', 'mexican', 'visa', 'requirement', 'cost', 'cdn', 'taxpayers', '262', 'million(net)', '10', 'yrs.']","(2000,[193,490,587,778,1086,1096,1495,1786,1800,1861,1899,1901,1955,1989],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[193,490,587,778,1086,1096,1495,1786,1800,1861,1899,1901,1955,1989],[4.80625401924,2.87341595175,0.0,2.76149803555,0.0,2.47676147332,5.41238982281,5.25823914298,4.02609546169,0.0,0.0,0.0,4.80625401924,3.94605275401])","[0.563101940042,0.436898059958]"
421,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[2.90008419883,3.14370628149,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,2.57917647875,1.22779838274,2.97004278744])","[0.649508555144,0.350491444856]"
422,Labour crisis looms in Canada??s agricultural sector,"['labour', 'crisis', 'looms', 'in', 'canada??s', 'agricultural', 'sector']","['labour', 'crisis', 'looms', 'canada??s', 'agricultural', 'sector']","(2000,[121,878,1115,1317,1528,1778],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[121,878,1115,1317,1528,1778],[3.54058764591,3.49057722533,3.54058764591,3.46647967375,3.56656313231,3.51526983792])","[0.364664131606,0.635335868394]"
423,"Farmers Feed the World program is a solution""","['farmers', 'feed', 'the', 'world', 'program', 'is', 'a', 'solution""']","['farmers', 'feed', 'world', 'program', 'solution""']","(2000,[644,1150,1432,1748,1797],[1.0,1.0,1.0,1.0,1.0])","(2000,[644,1150,1432,1748,1797],[4.63919993457,5.41238982281,0.0,5.12470775036,4.90156419904])","[0.510467919684,0.489532080316]"
424,Mexican visa lift kicking in today expected to cost Canada $262M over a decade,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[148,222,476,490,778,792,1096,1462,1488,1881],[2.90008419883,3.14370628149,2.99945667264,2.87341595175,2.76149803555,2.83470143957,2.47676147332,2.57917647875,1.22779838274,2.97004278744])","[0.649508398728,0.350491601272]"
425,&gt;ima move to canada before trump be...,"['&gt;ima', 'move', 'to', 'canada', 'before', 'trump', 'be...']","['&gt;ima', 'move', 'canada', 'trump', 'be...']","(2000,[282,500,687,828,1488],[1.0,1.0,1.0,1.0,1.0])","(2000,[282,500,687,828,1488],[4.37093594798,5.25823914298,0.0,4.31377753414,1.22779838274])","[0.429130816732,0.570869183268]"
426,@laithalsoufi 3/3 This visa is required to show to an immigration officer at the Port of Entry in Canada ,"['@laithalsoufi', '3/3', 'this', 'visa', 'is', 'required', 'to', 'show', 'to', 'an', 'immigration', 'officer', 'at', 'the', 'port', 'of', 'entry', 'in', 'canada']","['@laithalsoufi', '3/3', 'visa', 'required', 'show', 'immigration', 'officer', 'port', 'entry', 'canada']","(2000,[19,32,353,404,778,810,1245,1448,1488,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[19,32,353,404,778,810,1245,1448,1488,1887],[4.71924264225,0.0,5.41238982281,4.80625401924,2.76149803555,4.49609909093,3.90831242603,1.19043413599,1.22779838274,3.64880123055])","[0.456842853815,0.543157146185]"
