,text,tokens,stopWordsRemovedTokens,rawFeatures,prediction
324,@healthandcents @2ALAW Mexico&amp;Canada Enforce Strict Immigration Laws Time America Enforces Our Border&amp; Illegal immigration Laws WeHaveRights,"['@healthandcents', '@2alaw', 'mexico&amp;canada', 'enforce', 'strict', 'immigration', 'laws', 'time', 'america', 'enforces', 'our', 'border&amp;', 'illegal', 'immigration', 'laws', 'wehaverights']","['@healthandcents', '@2alaw', 'mexico&amp;canada', 'enforce', 'strict', 'immigration', 'laws', 'time', 'america', 'enforces', 'border&amp;', 'illegal', 'immigration', 'laws', 'wehaverights']","(1048576,[107404,111304,182599,249735,383661,393775,547862,687904,726901,843581,847434,851029,998400],[1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
325,Are You Keen In #Canada #Immigration From #India?,"['are', 'you', 'keen', 'in', '#canada', '#immigration', 'from', '#india?']","['keen', '#canada', '#immigration', '#india?']","(1048576,[294669,308343,691627,904354],[1.0,1.0,1.0,1.0])",1
326,Canada Immigration News - New Comprehensive Ranking System for Express Entry ,"['canada', 'immigration', 'news', '-', 'new', 'comprehensive', 'ranking', 'system', 'for', 'express', 'entry']","['canada', 'immigration', 'news', '-', 'new', 'comprehensive', 'ranking', 'system', 'express', 'entry']","(1048576,[29945,90437,111304,262035,422246,480535,569819,573473,626016,627855],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
327,Canada Immigration News - New Comprehensive Ranking System for Express Entry ,"['canada', 'immigration', 'news', '-', 'new', 'comprehensive', 'ranking', 'system', 'for', 'express', 'entry']","['canada', 'immigration', 'news', '-', 'new', 'comprehensive', 'ranking', 'system', 'express', 'entry']","(1048576,[29945,90437,111304,262035,422246,480535,569819,573473,626016,627855],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
328,Canada Immigration News - New Comprehensive Ranking System for Express Entry ,"['canada', 'immigration', 'news', '-', 'new', 'comprehensive', 'ranking', 'system', 'for', 'express', 'entry']","['canada', 'immigration', 'news', '-', 'new', 'comprehensive', 'ranking', 'system', 'express', 'entry']","(1048576,[29945,90437,111304,262035,422246,480535,569819,573473,626016,627855],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
329,Lodge #News:Donald Trump vs. Hillary Clinton -- Northern Rush Is On ... And Canada Can't Handle It! ,"['lodge', '#news:donald', 'trump', 'vs.', 'hillary', 'clinton', '--', 'northern', 'rush', 'is', 'on', '...', 'and', 'canada', ""can't"", 'handle', 'it!']","['lodge', '#news:donald', 'trump', 'vs.', 'hillary', 'clinton', '--', 'northern', 'rush', '...', 'canada', 'handle', 'it!']","(1048576,[7612,79024,165981,368635,396155,466736,626016,698701,723733,783752,789165,823406,952269],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
330,With Donal ,"['with', 'donal']",['donal'],"(1048576,[907579],[1.0])",0
331,"_?_?_???_??_?__?? _? ___?__ ? ___?__ _?__??__????? _?_?_? - _??_???_?__? - ??__ ___?_?_?__??___?? ___????, ____ _?___????_?? ??_?_?___???_?! ","['_?_?_???_??_?__??', '_?', '___?__', '?', '___?__', '_?__??__?????', '_?_?_?', '-', '_??_???_?__?', '-', '??__', '___?_?_?__??___??', '___????,', '____', '_?___????_??', '??_?_?___???_?!']","['_?_?_???_??_?__??', '_?', '___?__', '?', '___?__', '_?__??__?????', '_?_?_?', '-', '_??_???_?__?', '-', '??__', '___?_?_?__??___??', '___????,', '____', '_?___????_??', '??_?_?___???_?!']","(1048576,[45213,119514,161315,161763,196695,569819,596739,612720,630691,667794,682722,686891,838218,1009434],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])",0
332,"_?_?_???_??_?__?? _? ___?__ ? ___?__ _?__??__????? _?_?_? - _??_???_?__? - ??__ ___?_?_?__??___?? ___????, ____ _?___????_?? ??_?_?___???_?! ","['_?_?_???_??_?__??', '_?', '___?__', '?', '___?__', '_?__??__?????', '_?_?_?', '-', '_??_???_?__?', '-', '??__', '___?_?_?__??___??', '___????,', '____', '_?___????_??', '??_?_?___???_?!']","['_?_?_???_??_?__??', '_?', '___?__', '?', '___?__', '_?__??__?????', '_?_?_?', '-', '_??_???_?__?', '-', '??__', '___?_?_?__??___??', '___????,', '____', '_?___????_??', '??_?_?___???_?!']","(1048576,[45213,119514,161315,161763,196695,569819,596739,612720,630691,667794,682722,686891,838218,1009434],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])",0
333,@KeithOlbermann PLEASE MOVE TO CANADA. THEY HAVE IMMIGRATION POLICES WE NEED. BYE,"['@keitholbermann', 'please', 'move', 'to', 'canada.', 'they', 'have', 'immigration', 'polices', 'we', 'need.', 'bye']","['@keitholbermann', 'please', 'move', 'canada.', 'immigration', 'polices', 'need.', 'bye']","(1048576,[79875,92163,111304,150794,159066,877305,978663,1017353],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
334,Immigration Citizenship Cerimony - Canada Day 2016: ,"['immigration', 'citizenship', 'cerimony', '-', 'canada', 'day', '2016:']","['immigration', 'citizenship', 'cerimony', '-', 'canada', 'day', '2016:']","(1048576,[111304,337002,569819,583653,626016,632524,800389],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
335,canada_immigration_bangalore #flickr ,"['canada_immigration_bangalore', '#flickr']","['canada_immigration_bangalore', '#flickr']","(1048576,[690449,1023861],[1.0,1.0])",0
336,@JoyAnnReid @jeffreylstaley Tech should be OK long term. Canada will benefit for the next few years if US is less open to immigration.,"['@joyannreid', '@jeffreylstaley', 'tech', 'should', 'be', 'ok', 'long', 'term.', 'canada', 'will', 'benefit', 'for', 'the', 'next', 'few', 'years', 'if', 'us', 'is', 'less', 'open', 'to', 'immigration.']","['@joyannreid', '@jeffreylstaley', 'tech', 'ok', 'long', 'term.', 'canada', 'benefit', 'next', 'years', 'us', 'less', 'open', 'immigration.']","(1048576,[105627,122516,239537,546160,579249,598761,626016,648013,693815,719443,730600,872381,874143,1014600],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
337,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
338,"Minister @HonJohnMcCallum Sir, Canada's immigration system is A-Ok...right?","['minister', '@honjohnmccallum', 'sir,', ""canada's"", 'immigration', 'system', 'is', 'a-ok...right?']","['minister', '@honjohnmccallum', 'sir,', ""canada's"", 'immigration', 'system', 'a-ok...right?']","(1048576,[37041,111304,416879,468882,480535,732093,827863],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
339,PM @justintrudeau,"['pm', '@justintrudeau']","['pm', '@justintrudeau']","(1048576,[336033,685204],[1.0,1.0])",0
340,Premier @rachelnotley??_ ,"['premier', '@rachelnotley??_']","['premier', '@rachelnotley??_']","(1048576,[8053,79209],[1.0,1.0])",0
341,#Labour #crisis looms in #Canada??s #agricultural sector with current #immigration programs | Toronto Star #cdnimm  ,"['#labour', '#crisis', 'looms', 'in', '#canada??s', '#agricultural', 'sector', 'with', 'current', '#immigration', 'programs', '|', 'toronto', 'star', '#cdnimm']","['#labour', '#crisis', 'looms', '#canada??s', '#agricultural', 'sector', 'current', '#immigration', 'programs', '|', 'toronto', 'star', '#cdnimm']","(1048576,[24619,92267,129797,174395,213314,219922,260955,294669,368974,602731,879286,889814,957992],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1
342,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(1048576,[33049,140904,231320,297988,406038,408938,576106,612444,616254,626016],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
343,#FeaturedCompany - Link Canada Immigration ,"['#featuredcompany', '-', 'link', 'canada', 'immigration']","['#featuredcompany', '-', 'link', 'canada', 'immigration']","(1048576,[111304,281837,330250,569819,626016],[1.0,1.0,1.0,1.0,1.0])",0
344,Canada is bracing for a surge of Mexican immigrants after Trump's win,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
345,Honest question how can someone who provided false information on immigration papers still be in Canada let alone a MP?,"['honest', 'question', 'how', 'can', 'someone', 'who', 'provided', 'false', 'information', 'on', 'immigration', 'papers', 'still', 'be', 'in', 'canada', 'let', 'alone', 'a', 'mp?']","['honest', 'question', 'someone', 'provided', 'false', 'information', 'immigration', 'papers', 'still', 'canada', 'let', 'alone', 'mp?']","(1048576,[18737,90859,111304,309349,415103,467075,560488,615488,626016,721905,850620,1010402,1039966],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
346,Canada immigration service modernized added delhi and abhinav: zXjNPl,"['canada', 'immigration', 'service', 'modernized', 'added', 'delhi', 'and', 'abhinav:', 'zxjnpl']","['canada', 'immigration', 'service', 'modernized', 'added', 'delhi', 'abhinav:', 'zxjnpl']","(1048576,[111304,626016,740769,810545,892934,927481,928892,989848],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
347,TRUMP DAILY: Canada is bracing for a surge of Mexican immigrants after Trump's win #Trump ,"['trump', 'daily:', 'canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win', '#trump']","['trump', 'daily:', 'canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win', '#trump']","(1048576,[7612,43826,144748,231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
348,Recent #immigrant to #Manitoba says $500 fee is a '#head #tax' #cdnimm #mbimm,"['recent', '#immigrant', 'to', '#manitoba', 'says', '$500', 'fee', 'is', 'a', ""'#head"", ""#tax'"", '#cdnimm', '#mbimm']","['recent', '#immigrant', '#manitoba', 'says', '$500', 'fee', ""'#head"", ""#tax'"", '#cdnimm', '#mbimm']","(1048576,[109197,161826,260955,743110,772234,812452,870753,892174,895354,916793],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
349,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', 'guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', 'guardian']","(1048576,[71322,231320,385123,490924,591508,614027,626016,710052,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
350,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', 'guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', 'guardian']","(1048576,[71322,231320,385123,490924,591508,614027,626016,710052,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
351,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', 'guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', 'guardian']","(1048576,[71322,231320,385123,490924,591508,614027,626016,710052,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
352,Canada is bracing for a surge of Mexican immigrants after Trump's win - Read at Business Insider: ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win', '-', 'read', 'at', 'business', 'insider:']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win', '-', 'read', 'business', 'insider:']","(1048576,[231320,315714,490924,569819,591508,614027,619144,626016,641070,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
353,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', 'guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', 'guardian']","(1048576,[71322,231320,385123,490924,591508,614027,626016,710052,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
354,businessinsider: Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via guardian ,"['businessinsider:', 'canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', 'guardian']","['businessinsider:', 'canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', 'guardian']","(1048576,[71322,231320,385123,405224,490924,591508,614027,626016,710052,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
355,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
356,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', 'guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', 'guardian']","(1048576,[71322,231320,385123,490924,591508,614027,626016,710052,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
357,"GOOD GET OUT, GO FREEZE, BY MEXICANS. surge of Mexican immigrants after Trump's win - Read at Business Insider: ","['good', 'get', 'out,', 'go', 'freeze,', 'by', 'mexicans.', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win', '-', 'read', 'at', 'business', 'insider:']","['good', 'get', 'out,', 'go', 'freeze,', 'mexicans.', 'surge', 'mexican', 'immigrants', ""trump's"", 'win', '-', 'read', 'business', 'insider:']","(1048576,[231320,315714,360870,362039,490924,569819,591508,614027,619144,627180,641070,696765,830813,837660,899864],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
358,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via @guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', '@guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', '@guardian']","(1048576,[71322,231320,377296,385123,490924,591508,614027,626016,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
359,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via @guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', '@guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', '@guardian']","(1048576,[71322,231320,377296,385123,490924,591508,614027,626016,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
360,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via @guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', '@guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', '@guardian']","(1048576,[71322,231320,377296,385123,490924,591508,614027,626016,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
361,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via @guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', '@guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', '@guardian']","(1048576,[71322,231320,377296,385123,490924,591508,614027,626016,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
362,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via @guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', '@guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', '@guardian']","(1048576,[71322,231320,377296,385123,490924,591508,614027,626016,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
363,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
364,Mexican food in Canada is about to get a lot better.  ,"['mexican', 'food', 'in', 'canada', 'is', 'about', 'to', 'get', 'a', 'lot', 'better.']","['mexican', 'food', 'canada', 'get', 'lot', 'better.']","(1048576,[121133,126163,231320,362039,626016,652519],[1.0,1.0,1.0,1.0,1.0,1.0])",0
365,Canada is bracing for a surge of Mexican immigrants after Trump??s win ??? via @guardian ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', 'trump??s', 'win', '???', 'via', '@guardian']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', 'trump??s', 'win', '???', 'via', '@guardian']","(1048576,[71322,231320,377296,385123,490924,591508,614027,626016,995897,1001343],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
366,Coddle the ne plus ultra about services spontaneous farewell canada immigration consultants open arms hyderabad!:??_ ,"['coddle', 'the', 'ne', 'plus', 'ultra', 'about', 'services', 'spontaneous', 'farewell', 'canada', 'immigration', 'consultants', 'open', 'arms', 'hyderabad!:??_']","['coddle', 'ne', 'plus', 'ultra', 'services', 'spontaneous', 'farewell', 'canada', 'immigration', 'consultants', 'open', 'arms', 'hyderabad!:??_']","(1048576,[111304,155616,216519,362060,385115,553198,624908,626016,693815,707740,720578,765133,969401],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
367,Wow ... $500.... I cany afford $500 and I'm a citizen.... Recent immigrant to Manitoba says $500 fee is a 'head tax' ,"['wow', '...', '$500....', 'i', 'cany', 'afford', '$500', 'and', ""i'm"", 'a', 'citizen....', 'recent', 'immigrant', 'to', 'manitoba', 'says', '$500', 'fee', 'is', 'a', ""'head"", ""tax'""]","['wow', '...', '$500....', 'cany', 'afford', '$500', 'citizen....', 'recent', 'immigrant', 'manitoba', 'says', '$500', 'fee', ""'head"", ""tax'""]","(1048576,[161826,182517,199030,349482,362611,418762,466736,480534,741044,772234,845846,895354,916793,1030510],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])",0
368,"Canada detains hundreds of children for immigration violations, report finds ","['canada', 'detains', 'hundreds', 'of', 'children', 'for', 'immigration', 'violations,', 'report', 'finds']","['canada', 'detains', 'hundreds', 'children', 'immigration', 'violations,', 'report', 'finds']","(1048576,[4596,30905,111304,268590,322438,626016,743113,905194],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
369,Mexican visa lift kicking in today expected to cost Canada $262M over a decade ,"['mexican', 'visa', 'lift', 'kicking', 'in', 'today', 'expected', 'to', 'cost', 'canada', '$262m', 'over', 'a', 'decade']","['mexican', 'visa', 'lift', 'kicking', 'today', 'expected', 'cost', 'canada', '$262m', 'decade']","(1048576,[33049,140904,231320,297988,406038,408938,576106,612444,616254,626016],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
370,Labour crisis looms in Canada??s agricultural sector | Toronto Star ,"['labour', 'crisis', 'looms', 'in', 'canada??s', 'agricultural', 'sector', '|', 'toronto', 'star']","['labour', 'crisis', 'looms', 'canada??s', 'agricultural', 'sector', '|', 'toronto', 'star']","(1048576,[34857,174395,213314,219922,666277,889814,935963,957992,1014526],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
371,"India country of million minorities,if there's no sense of secularism there'll be a million mutinies: Ujjal Dosanjh ","['india', 'country', 'of', 'million', 'minorities,if', ""there's"", 'no', 'sense', 'of', 'secularism', ""there'll"", 'be', 'a', 'million', 'mutinies:', 'ujjal', 'dosanjh']","['india', 'country', 'million', 'minorities,if', 'sense', 'secularism', ""there'll"", 'million', 'mutinies:', 'ujjal', 'dosanjh']","(1048576,[58454,204524,413940,414577,467685,527868,608478,660277,710046,955193],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])",0
372,@business Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['@business', 'canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['@business', 'canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,357651,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
373,"Immigration is not the problem. Canada just ended visas with Mexico, you are going the wrong way. #TrumpRally","['immigration', 'is', 'not', 'the', 'problem.', 'canada', 'just', 'ended', 'visas', 'with', 'mexico,', 'you', 'are', 'going', 'the', 'wrong', 'way.', '#trumprally']","['immigration', 'problem.', 'canada', 'ended', 'visas', 'mexico,', 'going', 'wrong', 'way.', '#trumprally']","(1048576,[51520,111304,131024,146075,251326,268897,494829,540063,626016,687865],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
374,The provincial government in Manitoba wants to impose a new $500 fee on immigrants.,"['the', 'provincial', 'government', 'in', 'manitoba', 'wants', 'to', 'impose', 'a', 'new', '$500', 'fee', 'on', 'immigrants.']","['provincial', 'government', 'manitoba', 'wants', 'impose', 'new', '$500', 'fee', 'immigrants.']","(1048576,[29945,56858,531971,600846,738403,741044,772234,916793,982739],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
375,As a Canadian I have no problems whatsoever with @realDonaldTrump 's immigration policy as a secure US makes Canada safer as well.,"['as', 'a', 'canadian', 'i', 'have', 'no', 'problems', 'whatsoever', 'with', '@realdonaldtrump', ""'s"", 'immigration', 'policy', 'as', 'a', 'secure', 'us', 'makes', 'canada', 'safer', 'as', 'well.']","['canadian', 'problems', 'whatsoever', '@realdonaldtrump', ""'s"", 'immigration', 'policy', 'secure', 'us', 'makes', 'canada', 'safer', 'well.']","(1048576,[13479,32550,111304,250475,342466,393050,538558,546160,626016,647836,785976,817974,978809],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
376,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
377,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
378,"@maxshby immigration takes six years, America and Canada are allies, yet Canada pulled out of the middle East in 2012","['@maxshby', 'immigration', 'takes', 'six', 'years,', 'america', 'and', 'canada', 'are', 'allies,', 'yet', 'canada', 'pulled', 'out', 'of', 'the', 'middle', 'east', 'in', '2012']","['@maxshby', 'immigration', 'takes', 'six', 'years,', 'america', 'canada', 'allies,', 'yet', 'canada', 'pulled', 'middle', 'east', '2012']","(1048576,[4054,50134,111304,303877,315462,430580,536624,547862,555140,626016,745244,948562,949565],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])",0
379,"""New post: """"Canada is bracing for a surge of Mexican immigrants after Trump's win"""" ","['""new', 'post:', '""""canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win""""']","['""new', 'post:', '""""canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win""""']","(1048576,[37521,231320,283921,418149,591508,614027,625954,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
380,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
381,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
382,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"['canada', 'is', 'bracing', 'for', 'a', 'surge', 'of', 'mexican', 'immigrants', 'after', ""trump's"", 'win']","['canada', 'bracing', 'surge', 'mexican', 'immigrants', ""trump's"", 'win']","(1048576,[231320,490924,591508,614027,626016,837660,995897],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
