,_1,_2,_3,_4
1381,"{link} #SXSW #skrugSXSW""","(262144,[150537,216359,241100],[1.30643932352,0.0,0.615026147212])","[0.128493005694,0.123547882795,0.122744213531,0.125537627022,0.124485991874,0.124108030196,0.125817316874,0.125265932013]",0
1382,"Apple fans. It looks like there will be a 3rd Apple store opening up in Austin for #SxSW if those are full, u can go2 1 of 4 in San Antonio.","(262144,[7367,39964,68516,78474,110693,122438,137554,160830,200223,208258,211926,228726,233878,236232,241100,252859],[2.53354670325,6.2783337893,0.0,4.68909858419,4.86734681559,0.0,0.0,0.0,4.49527850831,3.49332254706,4.27685378909,0.0,4.79672924838,4.91735723617,0.615026147212,3.04752939357])","[0.194793092411,0.116484781141,0.079627639874,0.078041397798,0.106326671422,0.122163814535,0.17860867444,0.123953928379]",0
1384,#SXSW News... ???@mention Social Is Too Important For Google To Screw Up A Big Launch Circus {link} by @mention #in,"(262144,[3921,30006,102257,128272,150537,152165,155199,186041,193401,215949,240789,241100,253524],[0.0,4.45378449725,3.46292506988,1.38124053661,1.30643932352,5.44542466637,6.78915941307,6.63500873324,6.09601223251,3.39353307646,0.0,0.615026147212,2.0086363396])","[0.263111843051,0.211581443426,0.074458219534,0.0840688979392,0.0902582722162,0.0760496368979,0.11922065635,0.0812510305864]",0
1419,Gonna go see about rockin the Google party like a boss. #sxsw,"(262144,[33524,80356,172477,181217,204743,208258,215995,241100,253524],[3.85353106358,0.0,4.07005937578,6.63500873324,5.28508201629,3.49332254706,3.77689783756,0.615026147212,2.0086363396])","[0.224529059247,0.11899789609,0.14043227941,0.0941889983428,0.0975222060971,0.090266043304,0.127714386882,0.106349130628]",0
1434,#Circles set to fail for being too complicated by June. RT @mention Google set to launch new social network #Circles today at #sxsw,"(262144,[11825,29945,45206,79421,83140,102257,120730,128272,135533,143894,215949,241100,248305,253524],[0.0,2.66471681969,10.4272461046,0.0,0.0,3.46292506988,3.94618989407,1.38124053661,9.29818649914,3.40476914972,3.39353307646,0.615026147212,2.7003858959,2.0086363396])","[0.28234094335,0.0766877827081,0.0805996596427,0.0972841402171,0.135898476797,0.0804519145978,0.0815773024411,0.165159780246]",0
1436,Apple to set up temporary store at #SXSW for selling Ipad2 {link},"(262144,[7367,24386,30331,53400,135533,150537,200223,241100],[2.53354670325,6.1830236095,4.23711346044,4.37622626291,4.64909324957,1.30643932352,2.24763925416,0.615026147212])","[0.191988556228,0.0923524860403,0.0930255336105,0.0937453118796,0.0927738749098,0.160057650195,0.102880388322,0.173176198816]",0
1439,"Wishful: Several semis filled with Apple's iPad2, each surrounded by tech geek masses. Grab a box &amp; bump pay. Synching and joy ensues. #SXSW","(262144,[36953,44876,64306,91634,92118,108793,119647,121886,134867,154140,181437,189792,195155,213022,222252,235742,239516,241100,247718],[0.0,6.38369430496,0.0,6.63500873324,6.78915941307,0.0,0.0,5.74770553824,6.78915941307,0.0,0.0,0.0,5.53639644457,3.0240908206,0.0,5.36204305743,0.0,0.615026147212,0.0])","[0.380928677257,0.0812921389685,0.070719396191,0.0720481852907,0.0748522918963,0.154787964442,0.0911262786997,0.0742450672544]",0
1454,Scored a signed print of the Jules Verne Google Doodle. Thanks @mention #sxsw #googledoodle {link},"(262144,[85294,125910,128272,143772,150159,150537,177227,183134,221790,232867,241100,253524],[0.0,0.0,1.38124053661,0.0,0.0,1.30643932352,0.0,0.0,4.4065316124,0.0,0.615026147212,2.0086363396])","[0.160439578093,0.112188961673,0.111051825335,0.12666827856,0.121050020556,0.11787236346,0.13478115829,0.115947814033]",0
1472,@mention So did u make it to the Google party at #SXSW  :-),"(262144,[33524,89717,100276,128272,211926,241100,249180,253524],[3.85353106358,4.50338143839,0.0,1.38124053661,4.27685378909,0.615026147212,2.33481211682,2.0086363396])","[0.17741790069,0.142916654617,0.109055171489,0.110227275444,0.104650379183,0.103516247765,0.113307281499,0.138909089315]",0
1480,New #UberSocial for #iPhone now in App Store.  Includes UberGuide to #SXSW sponsored by #Mashable {link} @mention #IL,"(262144,[29945,87568,110319,128272,129622,150537,152164,168364,188737,211965,216430,236712,241100,249180],[2.66471681969,3.8187449475,4.91735723617,1.38124053661,3.21028085417,1.30643932352,4.86734681559,5.63647990313,4.8197187666,4.91735723617,0.0,5.21362305231,0.615026147212,2.33481211682])","[0.483888424428,0.0724094225834,0.071490651305,0.0759537860229,0.0736353452202,0.0735612968192,0.0756770669358,0.0733840066854]",0
1481,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link},"(262144,[7367,29945,87568,110319,129622,150537,152164,168364,211965,236712,241100],[2.53354670325,2.66471681969,3.8187449475,4.91735723617,3.21028085417,1.30643932352,4.86734681559,5.63647990313,4.91735723617,5.21362305231,0.615026147212])","[0.461867521486,0.0760313590802,0.0750561970778,0.0772548232245,0.0767349679836,0.0776365399388,0.0775469175648,0.0778716736441]",0
1482,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} @mention,"(262144,[7367,29945,87568,110319,128272,129622,150537,152164,168364,211965,236712,241100],[2.53354670325,2.66471681969,3.8187449475,4.91735723617,1.38124053661,3.21028085417,1.30643932352,4.86734681559,5.63647990313,4.91735723617,5.21362305231,0.615026147212])","[0.464521917724,0.0753930249524,0.0742337851351,0.077404637529,0.0762931625244,0.0770757827274,0.0775021517421,0.0775755376651]",0
1483,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} #apple,"(262144,[7367,29945,61441,87568,110319,129622,150537,152164,168364,211965,236712,241100],[2.53354670325,2.66471681969,3.87138868098,3.8187449475,4.91735723617,3.21028085417,1.30643932352,4.86734681559,5.63647990313,4.91735723617,5.21362305231,0.615026147212])","[0.452650908508,0.0736096308479,0.0728573312958,0.0747173993056,0.0740796115711,0.0977148475778,0.0777268160113,0.0766434548827]",0
1484,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} by @mention #app,"(262144,[7367,29945,87568,110319,128272,129622,150537,152164,168364,211965,213211,236712,241100],[2.53354670325,2.66471681969,3.8187449475,4.91735723617,1.38124053661,3.21028085417,1.30643932352,4.86734681559,5.63647990313,4.91735723617,6.01596952484,5.21362305231,0.615026147212])","[0.479130718356,0.0879202126977,0.0699417369719,0.0728204947056,0.0719496891065,0.0723982931534,0.0727822424951,0.0730566125134]",0
1506,We'll be spotlighting all our new mobile apps at #sxsw but here's a peak at our iPad #jobsearch app (video): {link},"(262144,[7062,29945,110901,129622,150537,210461,217207,227983,241100,242716,256578],[4.64909324957,2.66471681969,0.0,3.21028085417,1.30643932352,0.0,4.13826762581,2.1085725878,0.615026147212,0.0,0.0])","[0.161039196847,0.103081692395,0.114965024445,0.11220849171,0.103126514396,0.156690795406,0.146137789494,0.102750495307]",0
1507,"#sxsw hotspots by Klout score? Score! Cluster, a @mention @mention  mashup from @mention and @mention {link}","(262144,[15575,25256,53882,67740,79514,128272,150537,160230,241100,249180],[0.0,0.0,0.0,0.0,0.0,5.52496214642,1.30643932352,0.0,0.615026147212,2.33481211682])","[0.142297386918,0.116385654784,0.113195057563,0.130446966994,0.122323154973,0.120898766588,0.130533807518,0.123919204662]",0
1509,"Both Foursquare and Twitter launched slick new iPhone apps this week, conveniently in time for tech fest #SXSW {link} ^RF","(262144,[2640,7062,26162,29945,31264,56559,96454,121517,150537,171351,190108,195155,228527,241100,258670],[0.0,4.64909324957,0.0,2.66471681969,0.0,2.75491877492,0.0,3.93652798316,1.30643932352,5.94186155268,0.0,5.53639644457,5.63647990313,0.615026147212,5.36204305743])","[0.189586834542,0.187091229109,0.101383826954,0.0909997751923,0.0997802968177,0.102360657919,0.14703853952,0.0817588399461]",0
1511,What a dissapointment!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont??_,"(262144,[7367,29945,38525,43941,87568,110319,128272,129622,152164,211965,236712,241100,248305],[2.53354670325,2.66471681969,0.0,0.0,3.8187449475,4.91735723617,1.38124053661,3.21028085417,4.86734681559,4.91735723617,5.21362305231,0.615026147212,2.7003858959])","[0.438138681476,0.0786986021203,0.0776290717904,0.0827057138687,0.079889209437,0.0807943579248,0.0812498039986,0.0808945593844]",0
1514,now discussing PubSubHubbub: {link} #fsw #sxsw,"(262144,[54283,101507,139472,150537,241100],[0.0,0.0,0.0,1.30643932352,0.615026147212])","[0.128492880603,0.123547894662,0.122744218282,0.125537621258,0.124485977341,0.124108042037,0.125817288258,0.12526607756]",0
1516,"{link} #SXSW #MarissaGoogle""","(262144,[150537,185365,241100],[1.30643932352,0.0,0.615026147212])","[0.128493016852,0.12354788985,0.122744215535,0.12553767465,0.124485983635,0.124108047672,0.125817216757,0.12526595505]",0
1518,&quot;Foosspotting&quot; Ap for iPhone looks pretty good.  There are some food guides for #SXSW that will be useful later.,"(262144,[15605,56559,110693,121133,136459,149512,150903,175449,176968,186660,241100,249180],[0.0,2.75491877492,4.86734681559,5.74770553824,0.0,0.0,6.78915941307,5.44542466637,6.63500873324,0.0,0.615026147212,2.33481211682])","[0.229866535388,0.088448663836,0.118402928142,0.0831962624548,0.135552558388,0.0959405086452,0.16775991597,0.0808326271757]",0
1519,biggest issue selling through @mention is not having ability to sell direct (&amp; hv relationship with customer) #SXSW #in #newsapp,"(262144,[19635,20210,24386,25440,46044,91412,121269,123445,128272,129700,172494,178881,186041,241100],[6.50147734062,0.0,6.1830236095,0.0,6.38369430496,6.78915941307,0.0,5.21362305231,1.38124053661,6.09601223251,0.0,0.0,6.63500873324,0.615026147212])","[0.483603876602,0.0716339876064,0.0703837382839,0.0718683484603,0.0708468809904,0.0872947136849,0.0721365133625,0.0722319410097]",0
1529,the longest line at #sxsw is at the apple pop up store. {link},"(262144,[110078,150537,174771,188737,200223,217719,241100],[3.45102016737,1.30643932352,4.26343076876,4.8197187666,2.24763925416,0.0,0.615026147212])","[0.212914133592,0.102663587654,0.101986620126,0.109815539405,0.110024235833,0.122567390139,0.124631545315,0.115396947936]",0
1552,At Apple store at #sxsw,"(262144,[7367,200223,241100],[2.53354670325,2.24763925416,0.615026147212])","[0.137641455074,0.117772282242,0.11712493135,0.118137707954,0.119973099788,0.135179320957,0.12534996188,0.128821240755]",0
1557,Lego Mindstorm Battle of the Bots at the Google superhappydevhouse #sxsw  {link},"(262144,[10583,60385,119964,127555,150537,203236,241100,249180,253524],[0.0,0.0,0.0,0.0,1.30643932352,0.0,0.615026147212,2.33481211682,2.0086363396])","[0.136344063328,0.119400397816,0.118453805712,0.127528768712,0.123442376647,0.124756926267,0.127254867569,0.122818793948]",0
1582,#seenatsxsw2011 Best thing seen at #sxsw so far...a man begging on a street corner for the money for iPad 2 in front of the apple store. Sad,"(262144,[24918,68857,107499,118584,123069,166027,178203,179594,186593,188737,200223,212053,227983,236986,241100,258668,260823],[5.48987642894,0.0,4.99739994384,0.0,5.80833016006,4.57358569706,0.0,0.0,5.63647990313,4.8197187666,2.24763925416,2.8125978865,2.1085725878,5.94186155268,0.615026147212,6.63500873324,5.08441132083])","[0.277731898633,0.0988693596137,0.0778235304962,0.222831554321,0.0836669108222,0.089312406313,0.0817612530076,0.0680030867935]",0
1588,#SXSW #sxswparty Matt Damon upstairs at the Google party Maggie Maes 6th st,"(262144,[33524,34836,85843,96524,136356,176561,219047,230201,241100,252014,253524],[3.85353106358,5.21362305231,0.0,0.0,0.0,5.74770553824,0.0,0.0,0.615026147212,0.0,2.0086363396])","[0.228586591676,0.130162151336,0.0991311184012,0.114202111466,0.103045838269,0.11016938154,0.11534206736,0.0993607399517]",0
1598,"#Wahoos #sxsw party free beers, tacos, and ritas Thurs.","(262144,[20607,33524,99571,119495,135367,237761,241100,259484],[0.0,3.85353106358,0.0,0.0,0.0,3.63927645969,0.615026147212,0.0])","[0.162264669042,0.125219488278,0.116987876233,0.117573491636,0.115757588219,0.113061874621,0.135030003153,0.114105008819]",0
1605,"&quot;At SXSW, Apple schools the marketing experts&quot; {link} #sxsw","(262144,[12520,48969,70182,150537,200223,222481,241100,242616],[6.38369430496,0.0,0.0,1.30643932352,2.24763925416,6.63500873324,0.615026147212,5.74770553824])","[0.330528666018,0.0983364067923,0.0917432869016,0.0926109537132,0.0925154808856,0.104866959156,0.0948750872832,0.0945231592503]",0
1610,\(??_`)/ RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable,"(262144,[7367,29945,87568,110319,128272,129622,152164,168364,211965,236712,241100,248305,250876],[2.53354670325,2.66471681969,3.8187449475,4.91735723617,1.38124053661,3.21028085417,4.86734681559,5.63647990313,4.91735723617,5.21362305231,0.615026147212,2.7003858959,6.2783337893])","[0.504927656987,0.0695373377297,0.0692089800135,0.072379675988,0.0703942311813,0.0710531799281,0.071378546687,0.071120391485]",0
1618,huuray! RT @mention In Japan: Docomo introduced mobile apps six years before Apple came out with app store. #jpmobilesummit #sxsw,"(262144,[7062,20437,48324,65844,74473,84180,128272,129622,138369,163133,173710,188737,200223,217207,241100,248305],[4.64909324957,0.0,0.0,6.63500873324,4.99739994384,0.0,1.38124053661,3.21028085417,0.0,6.2783337893,0.0,4.8197187666,2.24763925416,4.13826762581,0.615026147212,2.7003858959])","[0.233510089383,0.0803426361326,0.151330406595,0.0859698336263,0.0769939053061,0.189055199529,0.104072701389,0.0787252280395]",0
1619,Huzzah! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,"(262144,[25147,54750,58967,128272,129622,158220,166027,200748,201717,209074,221790,223256,235700,241100,245267,248305],[3.8447204339,6.09601223251,6.38369430496,1.38124053661,3.21028085417,6.38369430496,4.57358569706,0.0,6.63500873324,6.63500873324,4.4065316124,6.38369430496,5.36204305743,0.615026147212,5.6905471244,2.7003858959])","[0.583270827698,0.0576564621424,0.0582116718977,0.0639609106061,0.0584916231975,0.058268720887,0.0617701865682,0.0583695970026]",0
1621,Jaysis! RT @mention RT @mention Whoa! line at the pop up apple store in downtown #sxsw  {link},"(262144,[7367,110078,127591,128272,150537,174771,182371,200223,211689,241100,248305,249180],[2.53354670325,3.45102016737,4.43778415591,2.76248107321,1.30643932352,4.26343076876,0.0,2.24763925416,6.63500873324,0.615026147212,5.40077179179,2.33481211682])","[0.292971128079,0.0843958037446,0.0825783972688,0.0943774953179,0.0916234242089,0.147877909893,0.102239586195,0.103936255293]",0
1622,Lazers! RT @mention on display tonite: {link} #gsdm #google Industry Party: {link} #sxsw,"(262144,[28939,49250,67889,70701,122551,128272,150537,157544,241100,248305,252417],[0.0,5.63647990313,5.36204305743,0.0,3.87138868098,1.38124053661,2.61287864705,0.0,0.615026147212,2.7003858959,0.0])","[0.181947273527,0.0945099331229,0.146385777055,0.106363312814,0.105699046178,0.165927688257,0.101424260063,0.0977427089824]",0
1625,Noh donlot @mention @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link},"(262144,[7367,29945,35129,47337,87568,110319,128272,129622,150537,152164,187457,211965,241100],[2.53354670325,2.66471681969,0.0,0.0,3.8187449475,4.91735723617,2.76248107321,3.21028085417,1.30643932352,4.86734681559,5.63647990313,4.91735723617,0.615026147212])","[0.435123146715,0.0791240836498,0.0775662864983,0.0823549718354,0.0803861334272,0.0811612688667,0.0822385807901,0.0820455282172]",0
1626,NU user RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable,"(262144,[7367,29945,36943,87568,110319,128272,129622,132778,152164,168364,211965,236712,241100,248305],[2.53354670325,2.66471681969,0.0,3.8187449475,4.91735723617,1.38124053661,3.21028085417,6.1830236095,4.86734681559,5.63647990313,4.91735723617,5.21362305231,0.615026147212,2.7003858959])","[0.50488561955,0.0696007015934,0.0688534613855,0.0724483944977,0.0704578743754,0.0711218292619,0.0714453866783,0.0711867326579]",0
1637,If u're at #sxsw don't u have cooler things to do? RT @mention 10:30 AM line at Apple pop-up store. It opens at 5 PM. #sxsw {link},"(262144,[54312,57035,89689,110078,112856,128272,129356,150537,168535,188737,200223,211926,216393,219752,226568,241100,248305],[0.0,3.94618989407,4.89203942818,3.45102016737,6.63500873324,1.38124053661,0.0,1.30643932352,0.0,4.8197187666,2.24763925416,4.27685378909,5.6905471244,6.63500873324,5.87286868119,1.23005229442,2.7003858959])","[0.399986707293,0.0898380480427,0.116918005944,0.0731363595981,0.070000221715,0.0795005558067,0.0760693969642,0.0945507046359]",0
1645,Are you at #sxsw? Check out #Tokii in the the Maple Leaf Digital Lounge {link} www.tokii.com,"(262144,[1594,3008,83887,85389,150537,152901,197541,219578,236575],[4.3468123777,0.0,5.58518660874,0.0,1.30643932352,0.0,6.63500873324,4.55556719156,0.0])","[0.184161198369,0.0985981750938,0.0923579286073,0.12461557511,0.171976374966,0.110778765475,0.118730446035,0.0987815363428]",0
1646,Arrived at #SXSW.  Never seen so much free advertising for @mention products  {link},"(262144,[74318,76764,128272,148345,150537,186060,186593,237761,245806,246858,249180],[5.36204305743,4.79672924838,1.38124053661,3.40476914972,1.30643932352,6.50147734062,5.63647990313,3.63927645969,4.97000096965,0.0,4.66962423363])","[0.287866563815,0.0849475014061,0.128285698135,0.0841332695155,0.0959008630024,0.0805905571991,0.155511133108,0.0827644138186]",0
1654,"Apple Store at #SXSW???Lots of social media folk promoting apps including @mention Also saw @mention in line""","(262144,[6981,7062,7367,45038,70769,125448,128272,147136,191236,200223,215949,228586,230387],[4.8197187666,4.64909324957,2.53354670325,0.0,0.0,0.0,2.76248107321,5.28508201629,5.6905471244,2.24763925416,3.39353307646,6.38369430496,0.0])","[0.204529707154,0.081407346571,0.0895507037047,0.0878295378341,0.087456723723,0.16559713504,0.130495688484,0.153133157489]",0
1655,Anyone got any news on the #Google Circles social networking announcement at #sxsw ?,"(262144,[31463,37800,49056,49185,122551,138193,181231,215949,230435,241100],[3.92695853214,5.17972150063,4.11501076364,4.86734681559,3.87138868098,4.94333272257,6.63500873324,3.39353307646,6.38369430496,0.615026147212])","[0.278587436701,0.0784930750676,0.0853658481237,0.159314020388,0.085251743102,0.0769019875679,0.105424476184,0.130661412866]",0
1661,"#classical #newTwitter""","(262144,[17056,144255],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
1663,Rockin out at the Party Lake It's 1986 Party! #google #ACLU #SXSW  @mention Maggie Mae's {link},"(262144,[33524,42741,77050,114352,122551,128272,150537,157116,174496,176561,181217,241100,249180],[3.85353106358,6.38369430496,6.50147734062,0.0,3.87138868098,1.38124053661,1.30643932352,6.63500873324,0.0,5.74770553824,6.63500873324,0.615026147212,2.33481211682])","[0.266065785118,0.134686233796,0.0723686357728,0.0808782334355,0.221481538296,0.0737332928328,0.0770977139008,0.0736885668483]",0
1670,Is content curation publishing? Is aggregated content effective with Google-savvy audiences? #sxsw @mention,"(262144,[54831,61636,104860,114503,128272,176673,186986,241100,253012],[12.366047219,0.0,0.0,0.0,1.38124053661,6.78915941307,0.0,0.615026147212,0.0])","[0.275981254428,0.0929688114765,0.157680104858,0.0954217525189,0.0935310399987,0.0935943605547,0.0949017393813,0.0959209367837]",0
1675,Funny that even CNN is saying to stay clear of Austin Apple store on Friday (iPad 2 launch) cuz of #sxsw. {link},"(262144,[7367,7620,35492,73249,109995,134723,148345,150537,164390,174608,174966,200223,211112,212053,232501,252859],[2.53354670325,6.63500873324,5.05455835768,5.80833016006,5.87286868119,5.80833016006,3.40476914972,1.30643932352,6.01596952484,5.94186155268,4.77425639253,2.24763925416,0.0,2.8125978865,6.63500873324,3.04752939357])","[0.259829860145,0.0751751699915,0.0680293736072,0.125951817621,0.0671767751085,0.139291827983,0.194450975188,0.0700942003561]",0
1681,My biggest frustration with #SXSW so far is no one looks where they're going because glued to iPhone.,"(262144,[19635,110693,125372,173829,185141,189170,200019,232685,241100],[6.50147734062,4.86734681559,3.85353106358,4.53786761446,0.0,6.1830236095,0.0,4.17419963503,0.615026147212])","[0.243088331861,0.106718409483,0.0840309059936,0.0910369648426,0.129421117091,0.0832600159653,0.138025482636,0.124418772127]",0
1683,Arrived at Google and @mention #SXSW party. Awesome.,"(262144,[89611,128272,186060,212976,241100,253524],[5.74770553824,1.38124053661,6.50147734062,6.09601223251,0.615026147212,2.0086363396])","[0.337986209889,0.092605354139,0.0922971682853,0.0966410835125,0.0961754793464,0.093849972961,0.0966951811988,0.0937495506677]",0
1697,Ad jg buat iphone RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link},"(262144,[7367,29945,56559,87568,104302,110319,126066,128272,129622,150537,152164,160472,187457,211965,241100,248305],[2.53354670325,2.66471681969,2.75491877492,3.8187449475,0.0,4.91735723617,0.0,1.38124053661,3.21028085417,1.30643932352,4.86734681559,0.0,5.63647990313,4.91735723617,0.615026147212,2.7003858959])","[0.437154097526,0.0821242550323,0.0754889693073,0.083055203425,0.0807643404294,0.0790620485722,0.0835392375717,0.078811848136]",0
1700,Best Wurst late night decision ever  RT @mention Whoa! line at the pop up apple store in downtown #sxsw  {link},"(262144,[7367,66092,68727,87530,110078,119569,127591,128272,150537,166027,174771,200223,203802,211689,241100,248305,249180],[2.53354670325,5.40286505195,5.80833016006,0.0,3.45102016737,6.63500873324,4.43778415591,1.38124053661,1.30643932352,4.57358569706,4.26343076876,2.24763925416,5.1151829795,6.63500873324,0.615026147212,2.7003858959,4.66962423363])","[0.292324109699,0.0687983117185,0.064437232246,0.0694127242279,0.0785736402257,0.101116434466,0.0754068381708,0.249930709245]",0
1707,my biggest mistake since South By Southwest last year? writin a book bout iPhone photography instead of makin a photography iPhone app #SXSW,"(262144,[5381,19635,23782,34302,56559,74079,100864,107257,129622,162231,179122,189113,192137,240617,241100,244079],[4.39126414027,6.50147734062,0.0,0.0,5.50983754983,5.40286505195,0.0,0.0,3.21028085417,6.1830236095,6.63500873324,6.78915941307,5.80833016006,0.0,0.615026147212,0.0])","[0.304721040041,0.11763104884,0.0811894844129,0.0798857908162,0.0866027718714,0.132988171734,0.0947830911787,0.102198601107]",0
1710,Off to get my badge. Then to find food and drink. Then figure out why my @mention iPhone is NOT roaming at #sxsw. Then unpack. Priorities,"(262144,[47733,53778,54073,56559,91878,99895,121133,123406,128272,148345,225462,258220],[0.0,6.78915941307,0.0,2.75491877492,4.77425639253,3.36598312469,5.74770553824,0.0,1.38124053661,3.40476914972,0.0,0.0])","[0.223727451972,0.113532108464,0.0934959906337,0.0980427682871,0.166753310855,0.100984417941,0.100234077481,0.103229874367]",0
1713,20 Percent of Google Searches are for local information. #SXSW,"(262144,[87427,95592,172760,208787,241100,250802,253524],[0.0,0.0,6.50147734062,0.0,0.615026147212,6.63500873324,2.0086363396])","[0.185342761359,0.100225521663,0.176697323712,0.104089780771,0.101189558664,0.12936579884,0.10216908351,0.100920171481]",0
1723,The secret search sauce.  Google and Bing spill the beans. #google #bing #sxsw,"(262144,[102749,113392,116946,122551,138105,142872,160051,240227,241100,249180,253524],[0.0,5.28508201629,5.1151829795,3.87138868098,6.38369430496,0.0,0.0,6.1830236095,0.615026147212,2.33481211682,2.0086363396])","[0.262748817782,0.152612548482,0.0829228252955,0.0882294539489,0.0845900151009,0.0854526381618,0.0971892524985,0.14625444873]",0
1733,In line at the Apple pop up store at #sxsw. Squeal. {link},"(262144,[7367,68937,110078,148345,150537,174771,200223],[2.53354670325,0.0,3.45102016737,3.40476914972,1.30643932352,4.26343076876,2.24763925416])","[0.188357269331,0.103018206393,0.102169986065,0.108478118811,0.113126977695,0.128391044938,0.125771077513,0.130687319253]",0
1739,Looking at the line for the pop up #sxsw apple store...I can't think of a single object I want that much.,"(262144,[170,23875,70028,73925,110078,174771,190256,200223,204923,241100,250092],[0.0,6.78915941307,4.30425276328,0.0,3.45102016737,4.26343076876,4.29045944115,2.24763925416,5.48987642894,0.615026147212,0.0])","[0.265890735925,0.0858701908085,0.0949748681112,0.0932234109704,0.155587313056,0.100665531017,0.102718851578,0.101069098534]",0
1744,I wouldn't think of watching a big game or event without Twitter and my iPad anymore #futurecast #sxsw,"(262144,[6258,30006,45651,63139,70028,138895,174016,227983,231428,241100,258670],[0.0,4.45378449725,6.01596952484,5.58518660874,4.30425276328,4.8197187666,0.0,2.1085725878,5.24871437212,0.615026147212,5.36204305743])","[0.212287498273,0.095735593137,0.0805478669117,0.0900916765194,0.180532903834,0.161310392709,0.10091868109,0.0785753875256]",0
1746,Google set to launch new social network #Circles today at #sxsw,"(262144,[29945,45206,102257,120730,135533,143894,215949,241100,253524],[2.66471681969,5.21362305231,3.46292506988,3.94618989407,4.64909324957,3.40476914972,3.39353307646,0.615026147212,2.0086363396])","[0.222558121372,0.0887421086311,0.0904915464805,0.109677266094,0.167622354605,0.0900843873953,0.0933684372377,0.137455778185]",0
1775,Last night's fun! RT @mention Chilling with @mention @mention big hair station @mention the google party @ Maggie Mays. #sxsw {link},"(262144,[5381,30006,33524,69442,74966,97811,126768,128272,150537,161048,176561,231255,241100,242550,248305,253524],[4.39126414027,4.45378449725,3.85353106358,0.0,0.0,0.0,0.0,5.52496214642,1.30643932352,0.0,5.74770553824,0.0,0.615026147212,0.0,2.7003858959,2.0086363396])","[0.29321663879,0.0962410869789,0.0868062732433,0.123649351906,0.0937884651776,0.0893026719378,0.121108454455,0.0958870575115]",0
1784,#franken takes a shot at apple app process cc: @mention #stribpol #sxsw calls audience &quot;job creators&quot;,"(262144,[25038,30110,50134,116282,128272,129622,135094,135339,200223,212560,216462,239299,241100,248692],[6.63500873324,6.50147734062,5.74770553824,6.78915941307,1.38124053661,3.21028085417,0.0,0.0,2.24763925416,6.01596952484,6.1830236095,0.0,0.615026147212,0.0])","[0.4866373672,0.0715325602578,0.0719452286729,0.0729208986224,0.0720448795418,0.0762943851894,0.0737062070072,0.0749184735085]",0
1799,Gary is starting a new show &quot;Daily Grape&quot; for #iPhone only @mention  #thankyouecon #SXSW,"(262144,[10681,14072,29945,87568,128272,151191,241100,245731,249180,258652,262048],[0.0,5.6905471244,2.66471681969,3.8187449475,1.38124053661,0.0,0.615026147212,4.86734681559,2.33481211682,0.0,5.48987642894])","[0.169035948922,0.09708825673,0.090837971221,0.132293989723,0.167351311419,0.096940192923,0.131772037598,0.114680291464]",0
1822,I just rated GSD&amp;M Idea City LLC 5 stars. @mention &quot;Hotspot #sxsw party... Epic&quot; {link},"(262144,[23679,68735,89689,110655,127702,128019,128272,128797,150537,193971,229543,241100,256178],[0.0,6.63500873324,4.89203942818,0.0,5.87286868119,0.0,1.38124053661,6.63500873324,1.30643932352,0.0,6.09601223251,0.615026147212,0.0])","[0.192645531172,0.129086295754,0.0808292516903,0.141314598194,0.0925237898517,0.0884866122806,0.115936098689,0.159177822369]",0
1832,it's too tempting walking by Apple store Austin that's selling iPad2 #sxsw,"(262144,[7367,24386,53400,90317,102390,200223,241100,252859],[2.53354670325,6.1830236095,4.37622626291,0.0,5.6905471244,2.24763925416,0.615026147212,3.04752939357])","[0.191759667883,0.0988229282239,0.150970919722,0.0948533231038,0.0938546522032,0.157413350888,0.100062497304,0.112262660672]",0
1843,Aaron Forth mint.com: Pick platform carefully. (iPhone) Device adoption. Direct to consumers. ,"(262144,[47775,88203,104220,113562,126394,129700,135101,142961,221267,247982,261263],[0.0,6.1830236095,5.94186155268,0.0,0.0,6.09601223251,0.0,0.0,0.0,0.0,5.74770553824])","[0.192740039425,0.166802392271,0.0892681676203,0.158849177678,0.0980792830809,0.111522027151,0.0921410199943,0.0905978927791]",0
1845,Now more than 200 lined up for #SXSW Apple pop up store,"(262144,[7367,116994,174771,195597,200223,241100],[2.53354670325,0.0,4.26343076876,0.0,2.24763925416,0.615026147212])","[0.161436522415,0.111427465536,0.112165604179,0.112200453223,0.120224995452,0.135926747656,0.121386107331,0.125232104206]",0
