,text,features,prediction
90,Canada immigration dislodge online operation the scoop: FDSj ,"(1048576,[19136,83569,111304,374924,499788,620057,626016],[6.50147734062,7.88777170174,2.67012223826,7.88777170174,7.88777170174,7.88777170174,2.59950467104])",2
91,"@HughBinks @BasimaFaysal I'm from Canada, Muslim immigration is a burden onto Canada, and unwelcome.","(1048576,[111304,248976,370211,510081,840452,866863,1012171,1041975],[2.67012223826,11.0727928891,7.88777170174,7.88777170174,7.88777170174,7.88777170174,6.97148096986,7.88777170174])",2
92,Canada Immigration Consultancy Services.,"(1048576,[111304,626016,702540,725717],[2.67012223826,2.59950467104,7.19462452118,7.19462452118])",2
93,See Client Testimonial ,"(1048576,[215995,288767,756046],[3.77689783756,6.38369430496,7.88777170174])",2
94,Canada Immigration Seminar by Rhonda Williams??RCIC ,"(1048576,[111304,123037,243835,324825,626016],[2.67012223826,6.97148096986,6.78915941307,6.78915941307,2.59950467104])",2
95,"""""""How Easy or Difficult it is to get #Citizenship_in_Canada?"""" ","(1048576,[96984,362039,455865,547325,699728],[5.87286868119,3.36598312469,7.88777170174,7.88777170174,7.88777170174])",2
96,Canada is bracing for a surge of Mexican immigrants after Trump's win ,"(1048576,[231320,490924,591508,614027,626016,837660,995897],[3.88957100007,4.30425276328,4.68909858419,5.05455835768,2.59950467104,5.40286505195,5.1151829795])",2
97,Immigration to Canada has now been made easier through the Express Entry Program! Read more:??_ ,"(1048576,[6964,111304,262035,315714,594706,626016,627855,665072,754810],[7.88777170174,2.67012223826,5.32282234428,5.87286868119,6.38369430496,2.59950467104,5.28508201629,4.91735723617,7.88777170174])",2
98,Funny Talking of Haryanavi Jat with Canada Immigration Girl Agent (Hindi) (1080p HD): ,"(1048576,[109995,111304,275925,626016,712114,718247,772056,782699,796881,826663,988769],[5.87286868119,2.67012223826,5.80833016006,2.59950467104,7.88777170174,7.88777170174,5.6905471244,7.88777170174,7.88777170174,7.88777170174,7.88777170174])",2
99,"@grahameduncan Times up I've Daddy duty today. I'll say Canada immigration, believe Kieran rang your bell. Still waiting if his facts. _??_??","(1048576,[24401,65212,73140,99364,380698,410515,506092,520177,528051,560488,619543,626016,739947,866680,878104,927954],[7.88777170174,5.36204305743,5.44542466637,5.40286505195,6.78915941307,5.94186155268,7.88777170174,7.88777170174,7.88777170174,4.45378449725,7.88777170174,2.59950467104,7.88777170174,7.88777170174,7.88777170174,5.94186155268])",2
101,#Didyoumiss via @Fb_loaded Canada immigration website crashes as Donald Trump's votes rise ,"(1048576,[54176,76735,111304,170380,275310,385123,583465,626016,639057,837660,1026590],[7.19462452118,7.48230659363,2.67012223826,6.63500873324,7.48230659363,3.69056975408,5.17972150063,2.59950467104,6.50147734062,5.40286505195,7.48230659363])",2
102,Canada Registration Authority Immigration Advisors ,"(1048576,[111304,143337,271046,626016,826765],[2.67012223826,6.97148096986,6.97148096986,2.59950467104,6.50147734062])",2
103,Canada Registration Authority Immigration Advisors ,"(1048576,[111304,143337,271046,626016,826765],[2.67012223826,6.97148096986,6.97148096986,2.59950467104,6.50147734062])",2
104,"Hundreds may lose Canadian citizenship, resident status because of one corrupt immigration consultant ","(1048576,[111304,140586,161862,181609,203154,322438,393050,456854,465662,649660,1025628],[2.67012223826,4.43778415591,5.40286505195,5.24871437212,5.53639644457,5.1151829795,5.40286505195,5.36204305743,5.48987642894,3.85353106358,5.58518660874])",2
105,Avail quick and transparent process for immigration to Canada,"(1048576,[30110,45702,111304,423331,546611,626016],[6.50147734062,7.88777170174,2.67012223826,7.19462452118,6.63500873324,2.59950467104])",2
106,#ImmigrationVisa ,"(1048576,[419983],[7.88777170174])",2
107,#immigration #Francophone au #Canada #EntreeExpress #ExpressEntry #visa ,"(1048576,[73510,139487,177808,252749,294669,904354,942031],[5.02557082081,6.01596952484,6.09601223251,7.88777170174,4.52047587175,4.45378449725,7.19462452118])",2
108,Une r?ussite #Francophone en #ontario #PME #immigration #Canada ,"(1048576,[155965,294669,309273,355786,661928,686875,904354,942031],[7.88777170174,4.52047587175,7.48230659363,7.88777170174,6.78915941307,4.99739994384,4.45378449725,7.19462452118])",2
109,#Canad?? Stephen Hawking says technology will devastate the middle class - CNET ,"(1048576,[19862,37871,133203,161826,315462,322396,569819,618929,701057,824500],[5.80833016006,7.19462452118,7.19462452118,4.47004501812,6.50147734062,7.19462452118,2.64338267721,6.78915941307,7.19462452118,6.09601223251])",2
110,#immigration #francophone en Nouvelle-Ecosse #NovaScotia #ExpressEntry #visa ,"(1048576,[139487,177808,294669,686875,774717,942031,1018106],[6.01596952484,6.09601223251,4.52047587175,4.99739994384,7.88777170174,7.19462452118,7.88777170174])",2
111,Best Trick to get Canada Visa approval in 2 days! ,"(1048576,[251743,362039,456558,576106,626016,952459,975381,998485],[6.78915941307,3.36598312469,6.97148096986,4.09228251256,2.59950467104,4.57358569706,7.48230659363,2.8125978865])",2
112,#Labour crisis looms in #Canada??s agricultural sector #ForeignWorkers | Toronto Star ,"(1048576,[129797,174395,213314,219922,580535,602731,666277,889814,935963,957992],[7.19462452118,6.50147734062,6.38369430496,5.05455835768,7.88777170174,7.19462452118,4.89203942818,4.68909858419,5.02557082081,4.99739994384])",2
113,Or think Canada should bow down to them. Canada isn't changing for you sorry. #Immigration #rant #Canada,"(1048576,[21695,50415,70028,294669,308150,426810,626016,799747,904354],[7.88777170174,7.19462452118,4.30425276328,4.52047587175,7.88777170174,6.78915941307,5.19900934208,7.19462452118,4.45378449725])",2
114,Canada Immigration &amp; Visas - iam (immigration and migration) ,"(1048576,[111304,268897,529076,569819,610714,626016,722576,737310],[2.67012223826,6.78915941307,7.19462452118,2.64338267721,7.19462452118,2.59950467104,6.97148096986,3.0240908206])",2
115,Khas Mulaqaat With John McCallum  Minister Of Immigration Refugess &amp; Citizenship Canada... ,"(1048576,[37041,72429,111304,165201,251861,362014,510730,583653,737310,976389,1035612],[6.1830236095,7.88777170174,2.67012223826,7.19462452118,6.01596952484,7.88777170174,7.88777170174,5.87286868119,3.0240908206,7.19462452118,2.33481211682])",2
116,#Immigration #Consultant #Visa #Services For #Australia &amp; #Canada Visit Here..,"(1048576,[5282,177808,294669,350907,737310,783390,875651,904354,993867],[7.19462452118,6.09601223251,4.52047587175,5.80833016006,3.0240908206,6.97148096986,7.48230659363,4.45378449725,7.88777170174])",2
117,"""""""Canada Immigration Categories &amp; News - Take A Look!"""" ","(1048576,[111304,120903,569819,573473,698096,732773,737310,842071],[2.67012223826,7.88777170174,2.64338267721,4.86734681559,7.88777170174,7.48230659363,3.0240908206,3.63215899192])",2
118,Recent immigrant to Manitoba says $500 fee is a 'head tax' ,"(1048576,[161826,182517,362611,418762,741044,772234,895354,916793],[4.47004501812,6.38369430496,6.38369430496,6.01596952484,6.09601223251,5.87286868119,6.1830236095,6.01596952484])",2
119,@annemcelvoy @DouglasKMurray @brookeunger @j_tepperman sheer numbers make it silly to compare Germany to Canada with regard to immigration.,"(1048576,[35883,103474,121966,351861,352563,366832,584791,626016,737007,790266,872381,982405,1005968],[6.97148096986,7.19462452118,7.88777170174,4.50338143839,7.88777170174,7.19462452118,7.88777170174,2.59950467104,7.88777170174,7.48230659363,5.94186155268,7.88777170174,7.88777170174])",2
120,Canada &amp; Australia Immigration Apply with us ,"(1048576,[70954,111304,546160,552315,626016,737310],[6.63500873324,2.67012223826,4.33242364025,6.01596952484,2.59950467104,3.0240908206])",2
121,I just published ???India??s Best Immigration Consultant Camrose Canada 2016?? ,"(1048576,[97968,111304,161862,626016,716747,735619,846981,952459],[7.88777170174,2.67012223826,5.40286505195,2.59950467104,7.88777170174,7.88777170174,7.88777170174,4.57358569706])",2
122,November 30 Express Entry Draw Invites Candidates With Provincial Nomination to Apply for Immigration to Canada.... ,"(1048576,[61825,111304,220513,221223,258926,262035,531971,552315,577519,627855,885059,901725],[6.50147734062,2.67012223826,7.88777170174,6.01596952484,6.97148096986,5.32282234428,6.09601223251,6.01596952484,6.38369430496,5.28508201629,6.01596952484,6.38369430496])",2
123,"Hundreds may lose Canadian citizenship, resident status because of one corrupt immigration consultant ","(1048576,[111304,140586,161862,181609,203154,322438,393050,456854,465662,649660,1025628],[2.67012223826,4.43778415591,5.40286505195,5.24871437212,5.53639644457,5.1151829795,5.40286505195,5.36204305743,5.48987642894,3.85353106358,5.58518660874])",2
124,@pmgjones @stephen_taylor ...have a sneaking suspicion she won't be a resident of Canada if Immigration dep't grows a pair,"(1048576,[35247,111304,127013,222465,328437,465662,601049,626016,749366,751141,984332],[7.88777170174,2.67012223826,7.88777170174,7.88777170174,7.88777170174,5.48987642894,7.88777170174,2.59950467104,7.88777170174,7.88777170174,7.88777170174])",2
126,#Canad?? Stephen Hawking says technology will devastate the middle class - CNET ,"(1048576,[19862,37871,133203,161826,315462,322396,569819,618929,701057,824500],[5.80833016006,7.19462452118,7.19462452118,4.47004501812,6.50147734062,7.19462452118,2.64338267721,6.78915941307,7.19462452118,6.09601223251])",2
127,Immigration to Canada ,"(1048576,[111304,626016],[2.67012223826,2.59950467104])",2
128,Way on make so admirable immigration services unto canada: CDOIj ,"(1048576,[67245,111304,171864,351861,461399,584514,624908,820892],[7.88777170174,2.67012223826,7.88777170174,4.50338143839,4.53786761446,7.88777170174,6.38369430496,6.01596952484])",2
129,Canada passport differently immigration: extenuating occupations pro matriarchic practical craftsman: PvDKzZFK ,"(1048576,[5813,101571,384143,626016,635817,638656,756326,860281,934692,958213,1025443],[7.88777170174,6.97148096986,7.88777170174,2.59950467104,7.88777170174,7.88777170174,7.88777170174,7.88777170174,6.50147734062,7.88777170174,7.88777170174])",2
130,If only #Canada had laws pertaining to #immigration and--Apparently we do have laws for just that thing--So what's??_ ,"(1048576,[9480,294669,393775,397076,585860,904354,909910],[7.88777170174,4.52047587175,11.0727928891,7.88777170174,7.88777170174,4.45378449725,7.88777170174])",2
131,I was happy to provide context and clarification on immigration matters #immfr #immigration #ExpressEntry??_ ,"(1048576,[86293,111304,193224,252697,263376,294669,714250,734631,894705],[5.32282234428,2.67012223826,6.63500873324,7.88777170174,7.88777170174,4.52047587175,6.63500873324,7.88777170174,7.88777170174])",2
132,"@DynastyDriven @Berniecrats2020 Canada has immigration laws, have to have $$ in bank n be able to support self he should try Mexico","(1048576,[101464,111304,141407,146390,201383,217194,250737,362887,400874,412168,471099,572936,626016],[5.53639644457,2.67012223826,5.32282234428,7.88777170174,7.88777170174,7.88777170174,7.88777170174,5.6905471244,6.50147734062,7.88777170174,7.88777170174,7.88777170174,2.59950467104])",2
133,Canada immigration 2013 pedagogics: JjgWQRp ,"(1048576,[111304,122505,417207,626016,626440],[2.67012223826,7.88777170174,7.88777170174,2.59950467104,7.88777170174])",2
134,"Donald #Trump, Populism, And What It Means For #Canada  ","(1048576,[52217,170380,787711,904354,937578],[7.88777170174,6.63500873324,7.88777170174,4.45378449725,6.63500873324])",2
135,#immigration #kanimmigration ,"(1048576,[204427,294669],[7.48230659363,4.52047587175])",2
136,#Canada prepares for surge of #Mexican #immigrants after visa lift and #Trump win,"(1048576,[10734,125300,144748,297988,490924,576106,614027,716160,904354],[7.48230659363,7.19462452118,7.19462452118,4.27685378909,4.30425276328,4.09228251256,5.05455835768,7.19462452118,4.45378449725])",2
137,#kanimmigration #immigration,"(1048576,[204427,294669],[7.48230659363,4.52047587175])",2
138,"@stacey_toole @gbongiovanni9 @nytimes BTW, hasnt Canada become a bit stricter nowadays with immigration","(1048576,[111304,141854,158187,212967,219049,370590,626016,805826,824774,854698,918721],[2.67012223826,6.38369430496,7.88777170174,7.88777170174,7.88777170174,7.88777170174,2.59950467104,7.88777170174,7.19462452118,7.88777170174,6.63500873324])",2
139,"French PM visits Justin Trudeau to discuss Canada?s trade plans, #immigration policy. #cdnpoli ","(1048576,[32292,60003,86203,173512,294669,685204,735095,794941,919886,952189,994219,994742],[7.88777170174,7.88777170174,5.87286868119,6.97148096986,4.52047587175,5.94186155268,6.09601223251,6.78915941307,6.50147734062,7.88777170174,7.48230659363,7.88777170174])",2
140,"""""""#Canada has no limit for how long to keep someone in immigration detention. 60% in #Ontario""""-Hector Almendrades @nooneisillegal #MPletstalk""","(1048576,[111304,192184,393584,459312,489297,555665,557178,601669,618308,726488,730600,1039966],[2.67012223826,7.88777170174,7.48230659363,7.19462452118,7.88777170174,7.88777170174,5.17972150063,7.88777170174,7.88777170174,7.88777170174,5.32282234428,4.70971787139])",2
141,#Canad?? Stephen Hawking says technology will devastate the middle class - CNET ,"(1048576,[19862,37871,133203,161826,315462,322396,569819,618929,701057,824500],[5.80833016006,7.19462452118,7.19462452118,4.47004501812,6.50147734062,7.19462452118,2.64338267721,6.78915941307,7.19462452118,6.09601223251])",2
142,via @AlexPoucher_com &amp; TheYoungTurks - Fleeing Americans Crash Canada's Immigration Site,"(1048576,[111304,218767,292146,385123,403874,468882,569819,737310,759470,881283,1019426],[2.67012223826,7.88777170174,7.88777170174,3.69056975408,6.63500873324,4.8197187666,2.64338267721,3.0240908206,7.88777170174,5.6905471244,7.48230659363])",2
143,Check out CNN Money featuring immigration.ca as an authority on #moving to #Canada from the #USA,"(1048576,[138716,236986,400676,540795,826765,904354,921155,977212,1006010],[6.78915941307,5.94186155268,7.88777170174,7.88777170174,6.50147734062,4.45378449725,5.80833016006,7.88777170174,4.55556719156])",2
144,So many developments last month! Read our insights:,"(1048576,[315714,454886,507188,529669,668451,740949],[5.87286868119,6.01596952484,4.8197187666,4.39126414027,7.48230659363,7.48230659363])",2
145,"#canada #Immigration""","(1048576,[54523,904354],[7.19462452118,4.45378449725])",2
146,The latest Nexus Canada! ,"(1048576,[690434,770186,942154],[6.63500873324,6.09601223251,6.2783337893])",2
148,Congratulations to Canada &amp; it's PM for having an open door policy to immigration. They are now a beacon to inclusi??_ ,"(1048576,[225204,233903,331097,626016,685204,693815,737310,817974,872381,879527],[7.88777170174,6.78915941307,7.88777170174,2.59950467104,5.94186155268,4.22421005561,3.0240908206,6.09601223251,5.94186155268,7.88777170174])",2
149,@tshizimba talks about issues immigrants face in Qu?bec. # immigration #Canada ,"(1048576,[111304,247394,421812,591508,855139,903717,904354,983321,1011041],[2.67012223826,6.2783337893,7.48230659363,4.68909858419,6.78915941307,7.88777170174,4.45378449725,6.50147734062,6.01596952484])",2
151,"D'apr??s les crit??res de Canada Immigration, Justin Trudeau serait pas prioritaire pour immigrer au Canada esti","(1048576,[10668,36449,73510,144222,295854,296424,410515,568318,568587,626016,702888,718560,763291,794941,994219],[6.38369430496,4.99739994384,5.02557082081,6.01596952484,7.88777170174,7.88777170174,5.94186155268,7.88777170174,7.88777170174,5.19900934208,7.88777170174,6.97148096986,7.88777170174,6.78915941307,7.48230659363])",2
152,"""Canada's immigration """"express entry"""" - allows economic immigrants to jump the cue. """"System purposely [not does] apply to 1st in line"""" Whoa.""","(1048576,[88310,111304,163697,372424,450867,472422,546877,552315,555116,569819,591508,643838,646583,664576,718088,853720,885471,934672],[7.88777170174,2.67012223826,7.88777170174,7.88777170174,7.88777170174,7.88777170174,7.88777170174,6.01596952484,7.88777170174,2.64338267721,4.68909858419,7.48230659363,6.38369430496,7.88777170174,7.88777170174,5.40286505195,7.88777170174,7.48230659363])",2
153,Me: Australia is winning...,"(1048576,[70954,246444,1005996],[6.63500873324,6.97148096986,7.88777170174])",2
154,"Me:.......OH GOD""","(1048576,[33669,528686],[7.88777170174,7.88777170174])",2
155,@shcorneius ,"(1048576,[984631],[7.88777170174])",2
156,Hundreds in danger of losing citizenship ,"(1048576,[6061,322438,344801,583653],[7.19462452118,5.1151829795,7.88777170174,5.87286868119])",2
157,???_???????_?_?_??????????_?????_?????_?_????_???_?_?????_?,"(1048576,[1017280],[7.48230659363])",2
158,?_?_???_???_??_?YuPass Canada Immigration Inc. ?_??_?????_?_????__?????_?????_???_____???_??_?_?,"(1048576,[23514,111304,403824,626016,707100],[7.48230659363,2.67012223826,7.48230659363,2.59950467104,7.48230659363])",2
159,@OneTuffLadyCO just search canada immigration. will end with .ca Then begin the process.,"(1048576,[326451,461725,488199,588837,626016,872381,903378,1041788],[7.88777170174,7.88777170174,7.48230659363,7.88777170174,2.59950467104,5.94186155268,5.1151829795,6.38369430496])",2
160,Hundreds may lose their Canadian citizenship or residency because of one corrupt immigration consultant: @dougquan ,"(1048576,[111304,140586,160349,203154,322438,362288,393050,456854,481224,583653,649660],[2.67012223826,4.43778415591,7.48230659363,5.53639644457,5.1151829795,7.48230659363,5.40286505195,5.36204305743,7.88777170174,5.87286868119,3.85353106358])",2
161,"Hundreds may lose Canadian citizenship, resident status because of one corrupt immigration consultant ","(1048576,[111304,140586,161862,181609,203154,322438,393050,456854,465662,649660,1025628],[2.67012223826,4.43778415591,5.40286505195,5.24871437212,5.53639644457,5.1151829795,5.40286505195,5.36204305743,5.48987642894,3.85353106358,5.58518660874])",2
162,"Well, that plus fact they hired him. This happens when you commodify immigration status. Here's what I wrote 1yr ag??_ ","(1048576,[35383,36789,91961,111304,153048,167503,321044,362060,396636,435895,679547,696312],[6.01596952484,7.88777170174,7.19462452118,2.67012223826,7.88777170174,6.78915941307,6.1830236095,6.2783337893,7.88777170174,7.19462452118,6.78915941307,7.88777170174])",2
163,"""""""Merciful"""" immigration policy should be applied to refugees - not billionaires who don't contribute to Canada. ","(1048576,[111304,150794,155796,282926,456362,569819,817974,1011028,1021610],[2.67012223826,5.21362305231,7.48230659363,6.50147734062,6.2783337893,2.64338267721,6.09601223251,7.88777170174,7.88777170174])",2
164,Recent immigrant to Manitoba says $500 fee is a 'head tax',"(1048576,[161826,182517,362611,418762,741044,772234,895354,916793],[4.47004501812,6.38369430496,6.38369430496,6.01596952484,6.09601223251,5.87286868119,6.1830236095,6.01596952484])",2
165,Immigration changes will help business reach outside Canada.,"(1048576,[10450,111304,150794,204515,502003,641070,831525],[5.6905471244,2.67012223826,5.21362305231,6.38369430496,5.24871437212,5.63647990313,7.19462452118])",2
166,"#NewCdns #newtocanada #cdnimm""","(1048576,[40897,623964,718566],[7.88777170174,7.88777170174,7.88777170174])",2
167,Is the new Manitoba immigration fee a head tax? ,"(1048576,[29945,111304,363304,527527,741044,772234],[2.66471681969,2.67012223826,5.63647990313,7.48230659363,6.09601223251,5.87286868119])",2
168,"The day after President George W. Bush was reelected, Canada's main immigration website had 115,000 vi ","(1048576,[111304,164404,271925,468882,583465,657263,674406,691646,800389,865554,910793,929539],[2.67012223826,7.88777170174,6.97148096986,4.8197187666,5.17972150063,7.88777170174,7.88777170174,7.88777170174,4.31823900526,7.88777170174,7.48230659363,7.88777170174])",2
169,Recent immigrant to Manitoba says $500 fee is a 'head tax' ,"(1048576,[161826,182517,362611,418762,741044,772234,895354,916793],[4.47004501812,6.38369430496,6.38369430496,6.01596952484,6.09601223251,5.87286868119,6.1830236095,6.01596952484])",2
170,"Canada must stop Asian immigration. They are slowly taking over every large city. They have wrecked the BC housing market, #cdnpoli","(1048576,[29326,77329,129623,159607,214670,309892,334898,388352,464412,626016,735095,872381,987174,1015839,1033516],[6.09601223251,4.94333272257,7.88777170174,7.88777170174,7.88777170174,7.19462452118,7.88777170174,5.36204305743,5.28508201629,2.59950467104,6.09601223251,5.94186155268,7.88777170174,5.1151829795,7.48230659363])",2
171,"@monica_barona @rbignell1 what mass Muslim migration is happening in Canada? Total Muslim immigration here is &lt;10%/yr. ~30,000 people.","(1048576,[70276,97704,111304,193411,410292,449795,463349,660531,847039,873239,1012171,1042896],[7.88777170174,6.78915941307,2.67012223826,6.38369430496,7.88777170174,6.78915941307,7.88777170174,6.78915941307,7.48230659363,7.19462452118,13.9429619397,7.88777170174])",2
172,Labour crisis in Canada??s agricultural sector: new study calls for more robust migrant farm worker program #cdnimm ,"(1048576,[29945,31313,34857,210452,246762,260955,321051,503996,640570,666277,935963,1014526,1021267,1036592],[2.66471681969,6.1830236095,4.91735723617,6.2783337893,7.88777170174,5.87286868119,7.48230659363,7.19462452118,6.78915941307,4.89203942818,5.02557082081,4.97000096965,7.88777170174,7.19462452118])",2
173,@JaredWyand @lizettemedina_ @tattedfor We suffer the same issue with immigration up here in Canada. This is what happens when your govt,"(1048576,[18873,35383,111304,150794,308188,401359,418067,469625,778750],[7.88777170174,6.01596952484,2.67012223826,5.21362305231,6.38369430496,7.88777170174,7.88777170174,7.88777170174,7.88777170174])",2
174,@TheEconomist profiles Canada's open immigration policies &amp; how they contribute to our economic success:??_ ,"(1048576,[111304,282926,468882,693815,737310,772428,853720,878047,928731,963756],[2.67012223826,6.50147734062,4.8197187666,4.22421005561,3.0240908206,6.97148096986,5.40286505195,6.1830236095,7.48230659363,6.78915941307])",2
175,Canada plans to build a wall as well.,"(1048576,[38308,626016,626208,647836,671385],[6.78915941307,2.59950467104,6.63500873324,7.19462452118,7.19462452118])",2
176,@realmommagump Not sure.  I hear CANADA has very STRICT immigration rules and a rigidly enforced border.  Mexico is??_ ,"(1048576,[111304,325786,400874,427412,555025,604846,626016,635658,687904,919698,983349,984965,1035612],[2.67012223826,7.88777170174,6.50147734062,5.63647990313,7.88777170174,7.48230659363,2.59950467104,5.74770553824,6.50147734062,7.19462452118,6.97148096986,7.88777170174,4.66962423363])",2
177,"Ma v. Canada (Citizenship and Immigration), 2016 FC 1245 (CanLII) ","(1048576,[169800,253154,256852,338787,458827,473193,626016,826206,1008413],[5.44542466637,5.87286868119,5.63647990313,7.88777170174,6.38369430496,5.87286868119,2.59950467104,5.80833016006,7.48230659363])",2
178,"@vincedemello Last month I was in Canada 23% of the population is foreign born, MPs voted 313-0 to take more refugees &amp; increase immigration","(1048576,[64290,106290,111304,115526,337168,400748,456362,529669,608210,626016,737310,767382,834251,842071,921149,957951],[7.88777170174,7.48230659363,2.67012223826,6.50147734062,7.88777170174,7.88777170174,6.2783337893,4.39126414027,7.88777170174,2.59950467104,3.0240908206,7.19462452118,6.63500873324,3.63215899192,7.88777170174,7.88777170174])",2
179,"The Easiest way to Migrate to Canada, Revealed! ","(1048576,[137714,214570,248976,280800,461399],[7.48230659363,7.48230659363,5.53639644457,7.19462452118,4.53786761446])",2
180,Learn about Polish immigration to Canada w/ this hands-on program @GaltMuseum. #YQL ,"(1048576,[111304,114039,133455,210452,374820,437943,480113,626016,825513],[2.67012223826,7.88777170174,6.1830236095,6.2783337893,7.88777170174,4.30425276328,7.88777170174,2.59950467104,7.88777170174])",2
181,Immigration Canada servers crashed on US election night. Now Parks Canada's servers crashed unable to handle the 2017 Park Pass offer. LAME,"(1048576,[111304,182392,300202,333970,411678,425497,446424,468882,479460,546160,581387,626016,647850,675404,783752,984821],[2.67012223826,12.7673886099,7.48230659363,6.78915941307,6.50147734062,7.48230659363,6.63500873324,4.8197187666,6.63500873324,4.33242364025,7.88777170174,2.59950467104,7.88777170174,15.7755434035,6.1830236095,7.88777170174])",2
182,"""Very interesting points made on """"Strengthening Canada's Competitiveness through Immigration"""".""","(1048576,[249354,252717,267279,352681,468882,665072,712217,782095],[7.88777170174,5.63647990313,7.88777170174,7.88777170174,4.8197187666,4.91735723617,7.88777170174,6.1830236095])",2
183,", resident status because of one corrupt immigration consultant ","(1048576,[111304,161862,181609,203154,465662,649660,997427],[2.67012223826,5.40286505195,5.24871437212,5.53639644457,5.48987642894,3.85353106358,5.53639644457])",2
184,"Hundreds may lose citizenship, resident status because of one corrupt BC... ","(1048576,[140586,181609,203154,322438,456854,465662,649660,828979,1025628],[4.43778415591,5.24871437212,5.53639644457,5.1151829795,5.36204305743,5.48987642894,3.85353106358,7.88777170174,5.58518660874])",2
185,GJC@globeandmail @jeffreybgray WELL MAYBE CANADA SHOULD DO SOMETHING ABOUT IMMIGRATION. MANY RICH IMMIGRANTS COMING TO CANADA NEVER PAID,"(1048576,[149300,335510,367944,437287,507188,591508,626016,697585,711213,770094,838994,867081,872381],[7.48230659363,4.43778415591,7.88777170174,5.58518660874,4.8197187666,4.68909858419,5.19900934208,5.17972150063,5.21362305231,4.97000096965,7.88777170174,6.50147734062,5.94186155268])",2
186,"No matter how rich we are, #Canada cannot afford to waste the skills of any of our residents. #P2PConference #Immigration","(1048576,[19694,149300,294669,371110,473425,480534,500771,904354,940986,1043248],[7.88777170174,7.48230659363,4.52047587175,7.88777170174,6.1830236095,5.87286868119,7.88777170174,4.45378449725,7.48230659363,6.97148096986])",2
187,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(1048576,[29945,111304,422177,427412,438443,746522,850288,965847],[2.66471681969,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,6.38369430496,6.38369430496])",2
188,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(1048576,[29945,111304,422177,427412,438443,746522,850288,965847],[2.66471681969,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,6.38369430496,6.38369430496])",2
189,What Wikipedia can??t tell you about studying in Canada ? ,"(1048576,[27395,37800,344698,626016,677992,871962],[7.48230659363,5.17972150063,7.19462452118,2.59950467104,6.50147734062,5.14693167781])",2
190,Resign? - deport her she lied on her immigration documents - what an insult to Canada ,"(1048576,[111304,351405,358010,404280,569819,626016,867831,982851],[2.67012223826,7.88777170174,7.88777170174,7.88777170174,5.28676535443,2.59950467104,7.48230659363,6.50147734062])",2
191,"Hundreds may lose Canadian citizenship,resident status because of 1 corrupt immigration consultant ","(1048576,[111304,140586,161862,181609,203154,322438,393050,456854,760520,1044614],[2.67012223826,4.43778415591,5.40286505195,5.24871437212,5.53639644457,5.1151829795,5.40286505195,5.36204305743,4.91735723617,7.88777170174])",2
192,Dear P.M. @JustinTrudeau - Saw the YT videos saying Americans are welcome in Canada. Immigration policy says abled??_ ,"(1048576,[81213,111304,133902,150794,161826,237452,336033,403874,426534,499202,541735,569819,793413,817974,848705],[6.2783337893,2.67012223826,5.63647990313,5.21362305231,4.47004501812,7.19462452118,6.50147734062,6.63500873324,6.01596952484,6.97148096986,7.88777170174,2.64338267721,4.8197187666,6.09601223251,7.88777170174])",2
193,Then again its gonna be a dead language outside of canada soon anyway what with the immigration issues.,"(1048576,[10450,111304,116836,273419,405201,462989,626016,722113,729031],[5.6905471244,2.67012223826,7.19462452118,6.63500873324,5.87286868119,6.50147734062,2.59950467104,7.19462452118,5.28508201629])",2
194,"I'm a certified U.S. educator, B.S. &amp; M.A. degrees. Frmr journo. Want to emigrate to Canada; immigration policy only sees my disability.","(1048576,[39265,111304,190256,262843,284813,445651,446002,615131,657526,737310,747551,817974,819851,850852,894885,965690],[7.88777170174,2.67012223826,4.29045944115,7.88777170174,7.88777170174,7.88777170174,7.88777170174,7.48230659363,7.88777170174,3.0240908206,7.88777170174,6.09601223251,7.88777170174,7.19462452118,7.19462452118,7.88777170174])",2
195,.@telfordk I wish our country was so welcoming but I am fully aware that it is not. ,"(1048576,[121496,129413,372727,414577,561020,807151,865057],[6.97148096986,7.88777170174,7.19462452118,6.01596952484,7.88777170174,5.08441132083,7.88777170174])",2
196,"Tout se qui est pas bon avec des exemples venant d'autres pays, Trudeau l'inconscient, emm??ne ?_a au Canada ","(1048576,[53289,73510,90189,159564,304374,421841,529441,586588,626016,638688,663835,718560,769886,794941,820396,933621,985646,1011182],[7.88777170174,5.02557082081,7.88777170174,7.88777170174,6.2783337893,7.88777170174,7.88777170174,7.88777170174,2.59950467104,7.88777170174,7.88777170174,6.97148096986,6.97148096986,6.78915941307,7.88777170174,6.63500873324,7.88777170174,6.78915941307])",2
197,Los #mexicanos pueden entrar en #Canada sin #visa pero con un #AVE #immigration ,"(1048576,[14821,177808,232421,294669,439927,623218,686875,692968,781139,782872,801582,819259,904354],[7.48230659363,6.09601223251,6.09601223251,4.52047587175,7.88777170174,7.48230659363,4.99739994384,7.88777170174,7.88777170174,6.50147734062,7.48230659363,7.88777170174,4.45378449725])",2
