,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
31,"I'm at JFK AirTrain - Jamaica Station in Jamaica, NY https://t.co/PAqB70xow3 https://t.co/bsyGmS1ZSy",0,"[-73.80829078, 40.69915431]","[""i'm"", 'at', 'jfk', 'airtrain', '-', 'jamaica', 'station', 'in', 'jamaica,', 'ny', 'https://t.co/paqb70xow3', 'https://t.co/bsygms1zsy']","['jfk', 'airtrain', '-', 'jamaica', 'station', 'jamaica,', 'ny', 'https://t.co/paqb70xow3', 'https://t.co/bsygms1zsy']","(1048576,[145123,421644,450068,484438,569819,588027,702220,766838,1023905],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[145123,421644,450068,484438,569819,588027,702220,766838,1023905],[3.49650756147,3.90197266957,3.90197266957,3.49650756147,2.64920970108,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
32,Tonight live music in Carlsbad  83 Degrees with PSYDECAR vibing 9pm-12! psydecar 83degreescarlsbad #psydecar… https://t.co/885nRECxdN,0,"[-117.34719781, 33.16069189]","['tonight', 'live', 'music', 'in', 'carlsbad', '', '83', 'degrees', 'with', 'psydecar', 'vibing', '9pm-12!', 'psydecar', '83degreescarlsbad', '#psydecar…', 'https://t.co/885nrecxdn']","['tonight', 'live', 'music', 'carlsbad', '', '83', 'degrees', 'psydecar', 'vibing', '9pm-12!', 'psydecar', '83degreescarlsbad', '#psydecar…', 'https://t.co/885nrecxdn']","(1048576,[61512,93917,183840,197059,346283,379770,516653,557341,737631,737687,849875,860104,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[61512,93917,183840,197059,346283,379770,516653,557341,737631,737687,849875,860104,1035612],[3.90197266957,2.29253475714,3.90197266957,3.90197266957,3.90197266957,3.90197266957,7.80394533915,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.95606252052])",6
33,#captionthis #eh #feedme #whataboutit #aspecialnightout #letseat #myfriends @ Fat Rice https://t.co/ZXcno3VQSg,0,"[-87.70239233, 41.93193263]","['#captionthis', '#eh', '#feedme', '#whataboutit', '#aspecialnightout', '#letseat', '#myfriends', '@', 'fat', 'rice', 'https://t.co/zxcno3vqsg']","['#captionthis', '#eh', '#feedme', '#whataboutit', '#aspecialnightout', '#letseat', '#myfriends', '@', 'fat', 'rice', 'https://t.co/zxcno3vqsg']","(1048576,[33028,115750,493187,493589,510620,593730,684163,693492,810333,878304,892630],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[33028,115750,493187,493589,510620,593730,684163,693492,810333,878304,892630],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
34,Carolina Weather - Current Local Conditions @ 10:00 AM. #Clayton #NC #Wc https://t.co/1BiIbkMt8C,1,"[-78.328611, 35.625556]","['carolina', 'weather', '-', 'current', 'local', 'conditions', '@', '10:00', 'am.', '#clayton', '#nc', '#wc', 'https://t.co/1biibkmt8c']","['carolina', 'weather', '-', 'current', 'local', 'conditions', '@', '10:00', 'am.', '#clayton', '#nc', '#wc', 'https://t.co/1biibkmt8c']","(1048576,[66452,255628,360166,519601,547262,552037,569819,593730,747568,758485,879286,880342,959192],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[66452,255628,360166,519601,547262,552037,569819,593730,747568,758485,879286,880342,959192],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,2.64920970108,1.55059741241,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.49650756147])",6
35,07:00 84F(Hi86/Lo77) Feels like 78F Wind SSE 2-&gt;3mph (Lt Air) Hum 16% Baro 29.94(+) Solar 239 UV 0.0 ET 0.040 Cloud… https://t.co/WXcBeX2L2u,0,"[-111.49328, 33.41578]","['07:00', '84f(hi86/lo77)', 'feels', 'like', '78f', 'wind', 'sse', '2-&gt;3mph', '(lt', 'air)', 'hum', '16%', 'baro', '29.94(+)', 'solar', '239', 'uv', '0.0', 'et', '0.040', 'cloud…', 'https://t.co/wxcbex2l2u']","['07:00', '84f(hi86/lo77)', 'feels', 'like', '78f', 'wind', 'sse', '2-&gt;3mph', '(lt', 'air)', 'hum', '16%', 'baro', '29.94(+)', 'solar', '239', 'uv', '0.0', 'et', '0.040', 'cloud…', 'https://t.co/wxcbex2l2u']","(1048576,[52835,73660,88307,196766,275999,309629,331626,332076,363203,381390,387947,432670,470402,514806,595198,646707,659133,681536,735494,879932,931161,991198],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[52835,73660,88307,196766,275999,309629,331626,332076,363203,381390,387947,432670,470402,514806,595198,646707,659133,681536,735494,879932,931161,991198],[3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
36,"I'm at Rite Aid in Dumfries, VA https://t.co/6H0wFpCEMs",0,"[-77.328375, 38.561513]","[""i'm"", 'at', 'rite', 'aid', 'in', 'dumfries,', 'va', 'https://t.co/6h0wfpcems']","['rite', 'aid', 'dumfries,', 'va', 'https://t.co/6h0wfpcems']","(1048576,[152109,489774,558659,756496,845581],[1.0,1.0,1.0,1.0,1.0])","(1048576,[152109,489774,558659,756496,845581],[3.90197266957,2.9856819377,3.90197266957,3.49650756147,3.90197266957])",6
37,And let the games begin. #fifaworldcup #coffee #myfathercigars #donpepingarcia #seriesjj #2011 #aged #cigars… https://t.co/abnYis3iS1,0,"[-80.4447262, 25.68889429]","['and', 'let', 'the', 'games', 'begin.', '#fifaworldcup', '#coffee', '#myfathercigars', '#donpepingarcia', '#seriesjj', '#2011', '#aged', '#cigars…', 'https://t.co/abnyis3is1']","['let', 'games', 'begin.', '#fifaworldcup', '#coffee', '#myfathercigars', '#donpepingarcia', '#seriesjj', '#2011', '#aged', '#cigars…', 'https://t.co/abnyis3is1']","(1048576,[18359,38684,74791,238257,418064,556476,563797,564741,702753,746597,846260,850620],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[18359,38684,74791,238257,418064,556476,563797,564741,702753,746597,846260,850620],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",0
38,"Great week of work for me at Rush Truck Centers this past week. On this sale, I was informed a month ago that we wo… https://t.co/OABTfSmztk",0,"[-118.41716281, 34.29594084]","['great', 'week', 'of', 'work', 'for', 'me', 'at', 'rush', 'truck', 'centers', 'this', 'past', 'week.', 'on', 'this', 'sale,', 'i', 'was', 'informed', 'a', 'month', 'ago', 'that', 'we', 'wo…', 'https://t.co/oabtfsmztk']","['great', 'week', 'work', 'rush', 'truck', 'centers', 'past', 'week.', 'sale,', 'informed', 'month', 'ago', 'wo…', 'https://t.co/oabtfsmztk']","(1048576,[5232,57220,138356,175424,398069,459090,681778,712553,723733,767382,774843,780200,820775,894007],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[5232,57220,138356,175424,398069,459090,681778,712553,723733,767382,774843,780200,820775,894007],[3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.20882548901,3.90197266957])",6
39,? #DUDEALERT A lot of LOUD noises heard in Peoria last night. usabchamps starts Sunday. #stormbeforethebigstorm… https://t.co/PNQjmbFo49,0,"[-112.07638889, 33.52833333]","['?', '#dudealert', 'a', 'lot', 'of', 'loud', 'noises', 'heard', 'in', 'peoria', 'last', 'night.', 'usabchamps', 'starts', 'sunday.', '#stormbeforethebigstorm…', 'https://t.co/pnqjmbfo49']","['?', '#dudealert', 'lot', 'loud', 'noises', 'heard', 'peoria', 'last', 'night.', 'usabchamps', 'starts', 'sunday.', '#stormbeforethebigstorm…', 'https://t.co/pnqjmbfo49']","(1048576,[135808,144979,185513,411678,444189,465601,529669,652519,700827,743763,749116,807726,810918,859629],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[135808,144979,185513,411678,444189,465601,529669,652519,700827,743763,749116,807726,810918,859629],[3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
40,I just finished canicross running 3.99 km in 58m:32s with #Endomondo #endorphins https://t.co/QiYHJj4poS,0,"[-113.6146465, 31.3334153]","['i', 'just', 'finished', 'canicross', 'running', '3.99', 'km', 'in', '58m:32s', 'with', '#endomondo', '#endorphins', 'https://t.co/qiyhjj4pos']","['finished', 'canicross', 'running', '3.99', 'km', '58m:32s', '#endomondo', '#endorphins', 'https://t.co/qiyhjj4pos']","(1048576,[90042,149211,584850,598279,610931,759316,778058,901172,923381],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[90042,149211,584850,598279,610931,759316,778058,901172,923381],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
41,"One of the most beautiful places on Earth.   The people here are so very friendly.  If u can, take a trip down. @ A… https://t.co/DtQhml6Q5y",0,"[-77.32141733, 25.08429738]","['one', 'of', 'the', 'most', 'beautiful', 'places', 'on', 'earth.', '', '', 'the', 'people', 'here', 'are', 'so', 'very', 'friendly.', '', 'if', 'u', 'can,', 'take', 'a', 'trip', 'down.', '@', 'a…', 'https://t.co/dtqhml6q5y']","['one', 'beautiful', 'places', 'earth.', '', '', 'people', 'friendly.', '', 'u', 'can,', 'take', 'trip', 'down.', '@', 'a…', 'https://t.co/dtqhml6q5y']","(1048576,[108674,211926,376830,402692,445834,517822,593730,649660,653752,712563,788430,842071,843430,1016799,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0])","(1048576,[108674,211926,376830,402692,445834,517822,593730,649660,653752,712563,788430,842071,843430,1016799,1035612],[3.90197266957,3.49650756147,3.49650756147,3.90197266957,3.90197266957,3.90197266957,1.55059741241,2.80336038091,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.49650756147,3.90197266957,5.86818756156])",6
42,"I'm at Ac Hotel By Marriott Parking Garage in Dublin, OH https://t.co/j4l2su546p",0,"[-83.10742, 40.100704]","[""i'm"", 'at', 'ac', 'hotel', 'by', 'marriott', 'parking', 'garage', 'in', 'dublin,', 'oh', 'https://t.co/j4l2su546p']","['ac', 'hotel', 'marriott', 'parking', 'garage', 'dublin,', 'oh', 'https://t.co/j4l2su546p']","(1048576,[172491,215248,267599,376501,377991,431706,544147,562509],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[172491,215248,267599,376501,377991,431706,544147,562509],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
43,All smiles heading into a weekend at the beach with the besties ? !!! I definitely am obsessed with denim skirts la… https://t.co/LSsUmkXVha,0,"[-74.6964, 39.1538]","['all', 'smiles', 'heading', 'into', 'a', 'weekend', 'at', 'the', 'beach', 'with', 'the', 'besties', '?', '!!!', 'i', 'definitely', 'am', 'obsessed', 'with', 'denim', 'skirts', 'la…', 'https://t.co/lssumkxvha']","['smiles', 'heading', 'weekend', 'beach', 'besties', '?', '!!!', 'definitely', 'obsessed', 'denim', 'skirts', 'la…', 'https://t.co/lssumkxvha']","(1048576,[214923,267925,450941,529665,557218,618138,627536,679667,690450,723403,770366,959949,1047551],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[214923,267925,450941,529665,557218,618138,627536,679667,690450,723403,770366,959949,1047551],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
44,We're always looking for great people to join us here at AMC Theatres. Check out our latest opening!… https://t.co/cr5UJKZPV9,0,"[-80.850346, 35.353584]","[""we're"", 'always', 'looking', 'for', 'great', 'people', 'to', 'join', 'us', 'here', 'at', 'amc', 'theatres.', 'check', 'out', 'our', 'latest', 'opening!…', 'https://t.co/cr5ujkzpv9']","['always', 'looking', 'great', 'people', 'join', 'us', 'amc', 'theatres.', 'check', 'latest', 'opening!…', 'https://t.co/cr5ujkzpv9']","(1048576,[59610,105836,138356,236821,376830,476264,546160,770186,989128,991355,1006010,1021672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[59610,105836,138356,236821,376830,476264,546160,770186,989128,991355,1006010,1021672],[3.90197266957,3.90197266957,3.20882548901,3.49650756147,3.49650756147,3.90197266957,3.49650756147,2.9856819377,3.90197266957,3.20882548901,3.20882548901,3.49650756147])",6
45,folks..... it's soccer time,0,"[-71.16246131, 44.16931324]","['folks.....', ""it's"", 'soccer', 'time']","['folks.....', 'soccer', 'time']","(1048576,[383661,746020,762755],[1.0,1.0,1.0])","(1048576,[383661,746020,762755],[3.90197266957,3.90197266957,3.49650756147])",6
46,This week marked another step in my career as I’m officially a Republic Airline Ambassador for floridatech Unbeliev… https://t.co/8FAJBA2Tg9,1,"[-86.31277425, 39.71809421]","['this', 'week', 'marked', 'another', 'step', 'in', 'my', 'career', 'as', 'i’m', 'officially', 'a', 'republic', 'airline', 'ambassador', 'for', 'floridatech', 'unbeliev…', 'https://t.co/8fajba2tg9']","['week', 'marked', 'another', 'step', 'career', 'i’m', 'officially', 'republic', 'airline', 'ambassador', 'floridatech', 'unbeliev…', 'https://t.co/8fajba2tg9']","(1048576,[153296,235606,283750,455491,459090,543658,595739,650204,719660,849222,897567,946418,1045720],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[153296,235606,283750,455491,459090,543658,595739,650204,719660,849222,897567,946418,1045720],[3.90197266957,2.9856819377,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
47,"Crevalle Jack, Jack Fish @ Biloxi, Mississippi https://t.co/eLrAOZHpCV",0,"[-88.9278, 30.412]","['crevalle', 'jack,', 'jack', 'fish', '@', 'biloxi,', 'mississippi', 'https://t.co/elraozhpcv']","['crevalle', 'jack,', 'jack', 'fish', '@', 'biloxi,', 'mississippi', 'https://t.co/elraozhpcv']","(1048576,[129907,261151,325296,593730,678723,785799,911044,975488],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[129907,261151,325296,593730,678723,785799,911044,975488],[3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
48,"Anniversary breakfast!!! Thanks to beautiful children and the better halves (@ Waffles INcaffeinated in Beaver, PA) https://t.co/L5B5jmnx7y",0,"[-80.30251756, 40.6960905]","['anniversary', 'breakfast!!!', 'thanks', 'to', 'beautiful', 'children', 'and', 'the', 'better', 'halves', '(@', 'waffles', 'incaffeinated', 'in', 'beaver,', 'pa)', 'https://t.co/l5b5jmnx7y']","['anniversary', 'breakfast!!!', 'thanks', 'beautiful', 'children', 'better', 'halves', '(@', 'waffles', 'incaffeinated', 'beaver,', 'pa)', 'https://t.co/l5b5jmnx7y']","(1048576,[10237,30905,129385,413184,416138,452008,511660,516437,652516,746078,788430,902349,932350],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[10237,30905,129385,413184,416138,452008,511660,516437,652516,746078,788430,902349,932350],[3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.20882548901])",6
49,LET’S TALK ABOUT FEELING STRONG ?? I remember showing up to my first day of soccer tryouts in HS and sobbing in the… https://t.co/teaUksx9xJ,0,"[-117.93163555, 33.63406947]","['let’s', 'talk', 'about', 'feeling', 'strong', '??', 'i', 'remember', 'showing', 'up', 'to', 'my', 'first', 'day', 'of', 'soccer', 'tryouts', 'in', 'hs', 'and', 'sobbing', 'in', 'the…', 'https://t.co/teauksx9xj']","['let’s', 'talk', 'feeling', 'strong', '??', 'remember', 'showing', 'first', 'day', 'soccer', 'tryouts', 'hs', 'sobbing', 'the…', 'https://t.co/teauksx9xj']","(1048576,[82111,159176,202478,354232,417735,445428,487176,559616,658626,721285,762755,800389,858557,950121,1020125],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[82111,159176,202478,354232,417735,445428,487176,559616,658626,721285,762755,800389,858557,950121,1020125],[3.49650756147,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.49650756147,3.49650756147,3.90197266957,3.90197266957,3.90197266957])",6
50,"Quick turnaround (@ Rocky Mountain Warehouse Lofts in Denver, CO) https://t.co/2fZH1zBdDa",0,"[-104.99146011, 39.75273774]","['quick', 'turnaround', '(@', 'rocky', 'mountain', 'warehouse', 'lofts', 'in', 'denver,', 'co)', 'https://t.co/2fzh1zbdda']","['quick', 'turnaround', '(@', 'rocky', 'mountain', 'warehouse', 'lofts', 'denver,', 'co)', 'https://t.co/2fzh1zbdda']","(1048576,[535,29998,61171,202901,306900,327198,331520,546611,834377,932350],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[535,29998,61171,202901,306900,327198,331520,546611,834377,932350],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.20882548901])",6
51,"Wind 2.2 mph SE. Barometer 30.23 in, Rising. Temperature 86.8 °F. Rain today 0.00 in. Humidity 72%",0,"[-84.51194444, 37.47472222]","['wind', '2.2', 'mph', 'se.', 'barometer', '30.23', 'in,', 'rising.', 'temperature', '86.8', '°f.', 'rain', 'today', '0.00', 'in.', 'humidity', '72%']","['wind', '2.2', 'mph', 'se.', 'barometer', '30.23', 'in,', 'rising.', 'temperature', '86.8', '°f.', 'rain', 'today', '0.00', 'in.', 'humidity', '72%']","(1048576,[48301,193254,297267,372250,381390,403380,406038,498613,511604,657047,670243,686674,714791,717071,836563,1005490,1031651],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[48301,193254,297267,372250,381390,403380,406038,498613,511604,657047,670243,686674,714791,717071,836563,1005490,1031651],[3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.20882548901,3.90197266957,2.11021320035,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147])",6
52,"#charlestonwedding… https://t.co/95QtJ01Lrx""",0,"[-79.95089, 32.77938]","['#charlestonwedding…', 'https://t.co/95qtj01lrx""']","['#charlestonwedding…', 'https://t.co/95qtj01lrx""']","(1048576,[315682,978483],[1.0,1.0])","(1048576,[315682,978483],[3.90197266957,3.90197266957])",6
53,"Accident. two left lanes blocked in #ChevyChase on The Beltway Outer Loop at Connecticut Ave, jammed back to MD-193, delay of 13 mins",0,"[-77.07821, 39.00557]","['accident.', 'two', 'left', 'lanes', 'blocked', 'in', '#chevychase', 'on', 'the', 'beltway', 'outer', 'loop', 'at', 'connecticut', 'ave,', 'jammed', 'back', 'to', 'md-193,', 'delay', 'of', '13', 'mins']","['accident.', 'two', 'left', 'lanes', 'blocked', '#chevychase', 'beltway', 'outer', 'loop', 'connecticut', 'ave,', 'jammed', 'back', 'md-193,', 'delay', '13', 'mins']","(1048576,[4751,15664,252551,276719,287751,387224,432558,459958,520420,629977,662992,742401,794222,918702,932654,959320,1034523],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[4751,15664,252551,276719,287751,387224,432558,459958,520420,629977,662992,742401,794222,918702,932654,959320,1034523],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
54,Enjoying Saturday morning coffee in my #wvalmostheaven #fiestaware mug given to me by my friend bobashleywv @ Charl… https://t.co/0zhwtiQUpB,1,"[-81.6333, 38.3495]","['enjoying', 'saturday', 'morning', 'coffee', 'in', 'my', '#wvalmostheaven', '#fiestaware', 'mug', 'given', 'to', 'me', 'by', 'my', 'friend', 'bobashleywv', '@', 'charl…', 'https://t.co/0zhwtiqupb']","['enjoying', 'saturday', 'morning', 'coffee', '#wvalmostheaven', '#fiestaware', 'mug', 'given', 'friend', 'bobashleywv', '@', 'charl…', 'https://t.co/0zhwtiqupb']","(1048576,[283172,287472,421014,491414,536239,593730,620095,671791,791537,854689,858008,927746,1014758],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[283172,287472,421014,491414,536239,593730,620095,671791,791537,854689,858008,927746,1014758],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,1.55059741241,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
55,Join the MedExpress team! See our latest #job opening here: https://t.co/VPjciLDfar #urgentcare #Healthcare… https://t.co/CBytEjqIma,0,"[-78.8689155, 38.4495688]","['join', 'the', 'medexpress', 'team!', 'see', 'our', 'latest', '#job', 'opening', 'here:', 'https://t.co/vpjcildfar', '#urgentcare', '#healthcare…', 'https://t.co/cbytejqima']","['join', 'medexpress', 'team!', 'see', 'latest', '#job', 'opening', 'here:', 'https://t.co/vpjcildfar', '#urgentcare', '#healthcare…', 'https://t.co/cbytejqima']","(1048576,[78474,89403,122254,215995,222418,366731,434352,452526,503549,770186,908561,1021672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78474,89403,122254,215995,222418,366731,434352,452526,503549,770186,908561,1021672],[3.49650756147,3.90197266957,2.64920970108,3.49650756147,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,2.9856819377,3.90197266957,3.49650756147])",6
56,"If you're looking for work in #MtOlive, NC, check out this #job: https://t.co/mlwVSBYWsC #Healthcare #Hiring #CareerArc",0,"[-78.0663788, 35.1965531]","['if', ""you're"", 'looking', 'for', 'work', 'in', '#mtolive,', 'nc,', 'check', 'out', 'this', '#job:', 'https://t.co/mlwvsbywsc', '#healthcare', '#hiring', '#careerarc']","['looking', 'work', '#mtolive,', 'nc,', 'check', '#job:', 'https://t.co/mlwvsbywsc', '#healthcare', '#hiring', '#careerarc']","(1048576,[309997,356240,546607,558955,642363,695983,820775,991355,1006010,1018145],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[309997,356240,546607,558955,642363,695983,820775,991355,1006010,1018145],[3.49650756147,3.90197266957,2.64920970108,3.49650756147,3.90197266957,2.51567830845,3.20882548901,3.20882548901,3.20882548901,3.90197266957])",6
57,Where are the girls?  Where are the babies? Use your voice. Today's rally is just one of 700 happening around the U… https://t.co/aMlsHUeJTc,0,"[-77.0367, 38.8951]","['where', 'are', 'the', 'girls?', '', 'where', 'are', 'the', 'babies?', 'use', 'your', 'voice.', ""today's"", 'rally', 'is', 'just', 'one', 'of', '700', 'happening', 'around', 'the', 'u…', 'https://t.co/amlshuejtc']","['girls?', '', 'babies?', 'use', 'voice.', ""today's"", 'rally', 'one', '700', 'happening', 'around', 'u…', 'https://t.co/amlshuejtc']","(1048576,[53252,110232,163296,193411,379017,448402,453853,490295,602617,649660,928588,963357,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[53252,110232,163296,193411,379017,448402,453853,490295,602617,649660,928588,963357,1035612],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,2.80336038091,3.90197266957,3.90197266957,1.95606252052])",6
58,"I'm at The Lazy Pig BBQ &amp; Catering in Triangle, VA https://t.co/RZqJG4ML13",0,"[-77.334747, 38.545773]","[""i'm"", 'at', 'the', 'lazy', 'pig', 'bbq', '&amp;', 'catering', 'in', 'triangle,', 'va', 'https://t.co/rzqjg4ml13']","['lazy', 'pig', 'bbq', '&amp;', 'catering', 'triangle,', 'va', 'https://t.co/rzqjg4ml13']","(1048576,[50285,133749,313648,489774,675945,686991,737310,809240],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[50285,133749,313648,489774,675945,686991,737310,809240],[3.90197266957,3.90197266957,3.90197266957,2.9856819377,3.90197266957,3.90197266957,3.49650756147,3.90197266957])",6
59,"I recently updated a 2 year vision for myself, along with goals and behaviors. Yesterday I found myself in the midd… https://t.co/7Svg4MEzPS",0,"[-93.56638889, 44.90333333]","['i', 'recently', 'updated', 'a', '2', 'year', 'vision', 'for', 'myself,', 'along', 'with', 'goals', 'and', 'behaviors.', 'yesterday', 'i', 'found', 'myself', 'in', 'the', 'midd…', 'https://t.co/7svg4mezps']","['recently', 'updated', '2', 'year', 'vision', 'myself,', 'along', 'goals', 'behaviors.', 'yesterday', 'found', 'midd…', 'https://t.co/7svg4mezps']","(1048576,[10562,81924,319399,455419,483459,531069,551090,649299,681244,756034,816480,911075,998485],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[10562,81924,319399,455419,483459,531069,551090,649299,681244,756034,816480,911075,998485],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147])",6
60,"2nd session (scroll for previous session...she heals AMAZING!!!) on this sparrow, dogwood flowers, and birth flower… https://t.co/GOxW0bfzzz",0,"[-82.47221, 34.78014]","['2nd', 'session', '(scroll', 'for', 'previous', 'session...she', 'heals', 'amazing!!!)', 'on', 'this', 'sparrow,', 'dogwood', 'flowers,', 'and', 'birth', 'flower…', 'https://t.co/goxw0bfzzz']","['2nd', 'session', '(scroll', 'previous', 'session...she', 'heals', 'amazing!!!)', 'sparrow,', 'dogwood', 'flowers,', 'birth', 'flower…', 'https://t.co/goxw0bfzzz']","(1048576,[140271,183485,209587,300909,313076,322213,323076,462067,686574,760568,796109,842847,867323],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[140271,183485,209587,300909,313076,322213,323076,462067,686574,760568,796109,842847,867323],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
